Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position,Status,Command
jm-xi-led554kwos,"tv led smart 55"" 4K WebOs","<ul><li>Sistema operativo: Android 12 / webOs</li><li>Marco SLIM</li><li>WIFI</li><li>Memoria 1.5GB RAM, 8GB ROM</li><li>Sintonizador digital ISDB</li><li>3 HDMI</li><li>2 Puertos USB Movie</li><li>Conexión VGA</li><li>Audio IN</li><li>Medidas 134.5 x 81 cm</li><li>Garantía 1 Año</li></ul>",Xion,Electro,"TV, Xion, stock-verificado",TRUE,Color,COLOR UNICO,XI-LED554KWOS-CU-U,19026.00,,10,deny,https://f.fcdn.app/imgs/411451/joacamar.com.uy/joacuy/f60d/original/catalogo/XI-LED554KWOS_CU_1/1024-1024/tv-led-smart-55-4k-webos-color-unico.jpg,1,active,
jm-xi-led554kwos,,,,,,,,,,,,,,https://f.fcdn.app/imgs/f6f938/joacamar.com.uy/joacuy/79c4/original/catalogo/XI-LED554KWOS_CU_2/1024-1024/tv-led-smart-55-4k-webos-color-unico.jpg,2,,
jm-xi-led554kwos,,,,,,,,,,,,,,https://f.fcdn.app/imgs/362d76/joacamar.com.uy/joacuy/8206/original/catalogo/XI-LED554KWOS_CU_3/1024-1024/tv-led-smart-55-4k-webos-color-unico.jpg,3,,
jm-xi-led754kwos,"tv led smart 75"" 4k WebOs","<ul><li>Sistema operativo WebOs</li><li>WIFI</li><li>Memoria 1GB RAM, 8GB ROM</li><li>Sintonizador digital ISDBT</li><li>3 HDMI</li><li>2 Puertos USB Movie</li><li>Conexión VGA</li><li>Audio IN</li><li>Magic remote</li><li>Medidas 168 X 98 cm</li><li>Peso 23.700 KG.</li></ul>",Xion,Electro,"TV, Xion, stock-verificado",TRUE,Color,COLOR UNICO,XI-LED754KWOS-CU-U,34155.00,45554.00,10,deny,https://f.fcdn.app/imgs/f3af44/joacamar.com.uy/joacuy/70df/original/catalogo/XI-LED754KWOS_CU_1/1024-1024/tv-led-smart-75-4k-webos-color-unico.jpg,1,active,
jm-xi-led754kwos,,,,,,,,,,,,,,https://f.fcdn.app/imgs/874263/joacamar.com.uy/joacuy/79c4/original/catalogo/XI-LED754KWOS_CU_2/1024-1024/tv-led-smart-75-4k-webos-color-unico.jpg,2,,
jm-xi-led754kwos,,,,,,,,,,,,,,https://f.fcdn.app/imgs/b486b6/joacamar.com.uy/joacuy/40ca/original/catalogo/XI-LED754KWOS_CU_3/1024-1024/tv-led-smart-75-4k-webos-color-unico.jpg,3,,
jm-x-watch66,smartwatch xion watch66,"<ul><li>SMARTWATCH</li><li>1,83 pulgadas TFT 240*286 píxeles</li><li>Duración de batería en reposo 15 días aproximados</li><li>Duración de la barería en uso de 3 a 6 días</li><li>Llamada (a través de bluetooth y conexión de teléfono móvil)</li><li>Funciones, Agenda, marcación distancias, calorías.</li><li>Visualización de pasos, calorías y distancia</li><li>Deportes(correr, saltar, abdominales…)</li><li>Control de música (necesita conectar el teléfono móvil y encender el reproductor de música)</li><li>Monitoreo del sueño: reigstre el tiempo de sueño de anoche</li><li>Notificación de llamada, notificación de mensaje</li><li>Buscador de teléfono</li><li>Cámara remota</li><li>IP 51</li></ul>",Xion,Electro,"Tecnología, Xion, stock-verificado",TRUE,Color,GRY,X-WATCH66-GRY-U,995.00,,10,deny,https://f.fcdn.app/imgs/4d9e8f/joacamar.com.uy/joacuy/a792/original/catalogo/X-WATCH66_GRY_1/1024-1024/smartwatch-xion-watch66-gry.jpg,1,active,
jm-x-watch66,,,,,,,,,,,,,,https://f.fcdn.app/imgs/eb8f3f/joacamar.com.uy/joacuy/95ce/original/catalogo/X-WATCH66_GRY_2/1024-1024/smartwatch-xion-watch66-gry.jpg,2,,
jm-open-xi-soas918,soporte de PVC para aire acondicionado,<ul><li>Soporte de PVC reforzado</li><li>Antioxidante y resistente</li><li>Aires acondicionados de 9.000 a 18.000 BTU</li></ul>,Xion,Electro,"Climatización, Xion, stock-verificado",TRUE,Color,COLOR UNICO,OPEN-XI-SOAS918-CU-U,539.00,,10,deny,https://f.fcdn.app/imgs/e9c8e2/joacamar.com.uy/joacuy/0899/original/catalogo/OPEN-XI-SOAS918_CU_1/1024-1024/soporte-de-pvc-para-aire-acondicionado-color-unico.jpg,1,active,
jm-d2pro,"MONOPATÍN 10"" D2PRO","<ul><li>MaxWheel D2Pro</li><li>Potencia, control y confort para ir más allá del asfalto.</li><li>El MaxWheel D2Pro está pensado para quienes buscan un monopatín más robusto, con mayor respuesta y mejor comportamiento en caminos irregulares. Su motor de hasta 890W, la batería 48V 10.4Ah, las ruedas 10"" off-road tubeless y la doble suspensión lo convierten en el modelo más completo de la línea para recorridos exigentes, combinando potencia, estabilidad y comodidad.</li><li>Además, suma doble freno de disco, 4 modos de manejo, control crucero, luces delanteras y traseras, y conectividad con app Tuya, para tener más control sobre cada recorrido.</li><li>Destacados principales</li><li>890W de potencia máxima</li><li>Más respuesta para salidas, subidas y caminos exigentes.</li><li>45 km de autonomía estimada</li><li>Pensado para recorridos más largos con mayor libertad.</li><li>Ruedas 10"" off-road tubeless</li><li>Mayor agarre, control y estabilidad en superficies irregulares.</li><li>Doble suspensión</li><li>Suspensión delantera y trasera para una conducción más cómoda y estable.</li><li>Beneficios adicionales</li><li>Doble freno de disco</li><li>Mayor control de frenado en ciudad y en caminos más exigentes.</li><li>4 modos de manejo</li><li>Adaptá la conducción según el recorrido: walk, ECO, sport o race.</li><li>Control crucero</li><li>Más comodidad en trayectos largos, manteniendo una velocidad constante.</li><li>Conectividad smart</li><li>App Tuya vía Bluetooth para bloqueo, última ubicación, velocidad, luces, kilómetros y detección de fallos.</li><li>Más visibilidad</li><li>Faro LED delantero, luz trasera y señalero para doblar.</li><li>Ficha técnica corta</li><li>Motor:</li><li>500W nominal / 890W máx.</li><li>Batería:</li><li>48V · 10.4Ah · 499Wh</li><li>Autonomía estimada:</li><li>45 km</li><li>Velocidad máxima:</li><li>45 km/h</li><li>Ruedas:</li><li>10"" off-road tubeless</li><li>Frenos:</li><li>doble freno de disco</li><li>Suspensión:</li><li>delantera y trasera</li><li>Peso máximo soportado:</li><li>150 kg</li><li>Tiempo de carga:</li><li>5-6 horas</li><li>Resistencia al agua:</li><li>IPX4</li><li>App:</li><li>Tuya vía Bluetooth</li><li>Nota:</li><li>La autonomía y la velocidad pueden variar según peso del usuario, terreno, carga de batería y modo de uso.</li></ul>",MAXWHEEL,Accesorios,"Movilidad, MAXWHEEL",TRUE,Color,COLOR UNICO,D2PRO-CU-U,36144.00,37264.00,0,deny,https://f.fcdn.app/imgs/3a29dc/joacamar.com.uy/joacuy/25cc/original/catalogo/D2PRO_CU_1/1024-1024/monopatin-10-d2pro-color-unico.jpg,1,active,
