Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position,Status,Command
bk-ctb6250x,Campana telescópica 60cm Beko CTB 6250 X,"<ul><li>Control mecánico</li><li>Iluminación LED</li><li>3 niveles de potencia</li><li>Un filtro de carbón</li><li>2 filtros metálicos</li><li>Filtros aptos lavavajillas</li><li>Capacidad mínima de ventilación: 220 m³/h</li><li>Capacidad máxima de ventilación: 420 m³/h</li><li>Nivel mínimo de ruido de ventilación: 57 dBA</li><li>Nível máximo de ruido de ventilación: 69 dBA</li><li>Dimensiones del producto (AnxAlxProf.): 59,8 x 19,8 x 30cm</li><li>Peso: 5,9Kg</li><li>Voltaje 220-240V</li><li>Frecuencia 50Hz</li></ul>",Beko,Electro,"Campanas, Beko, stock-verificado",TRUE,Modelo,Campana telescópica 60cm Beko CTB 6250 X,CTB 6250 X,299.00,,10,deny,https://f.fcdn.app/imgs/0763ea/www.tiendabeko.com.uy/bekouy/a7a6/original/catalogo/CTB6250X_CTB6250X_1/1024-1024/campana-telescopica-60cm-beko-ctb-6250-x-campana-telescopica-60cm-beko-ctb-6250-x.jpg,1,,
bk-ctb6250x,,,,,,,,,,,,,,https://f.fcdn.app/imgs/945e20/www.tiendabeko.com.uy/bekouy/349d/original/catalogo/CTB6250X_CTB6250X_2/1024-1024/campana-telescopica-60cm-beko-ctb-6250-x-campana-telescopica-60cm-beko-ctb-6250-x.jpg,2,,
bk-din35320,Lavavajillas panelable 13C Beko DIN35320,"<ul><li>HygieneIntense</li><li>5 programas (Intensivo 70 °C, Eco 50 °C, Clean & Shine™, Quick & Shine®, Mini)</li><li>2 aspersores</li><li>Depósito de sal</li><li>SelfDry™ - Apertura automática de puerta</li><li>Opción de media carga</li><li>Inicio diferido (3h /6h/ 9h)</li><li>Nivel de ruido: 48dBA</li><li>Dimensiones del producto (AnxAlxProf.): 59,8 x 81,8 x 55cm</li><li>Peso: 34,2Kg</li><li>Voltaje 220-240V</li><li>Frecuencia 50Hz</li></ul>",Beko,Electro,"Lavavajillas, Beko, stock-verificado",TRUE,Modelo,Lavavajillas panelable 13C Beko DIN35320,DIN35320,849.00,,10,deny,https://f.fcdn.app/imgs/9a7543/www.tiendabeko.com.uy/bekouy/60a7/original/catalogo/DIN35320_DIN35320_1/1024-1024/lavavajillas-panelable-13c-beko-din35320-lavavajillas-panelable-13c-beko-din35320.jpg,1,,
bk-din35320,,,,,,,,,,,,,,https://f.fcdn.app/imgs/1b1252/www.tiendabeko.com.uy/bekouy/59fb/original/catalogo/DIN35320_DIN35320_2/1024-1024/lavavajillas-panelable-13c-beko-din35320-lavavajillas-panelable-13c-beko-din35320.jpg,2,,
bk-din35320,,,,,,,,,,,,,,https://f.fcdn.app/imgs/965821/www.tiendabeko.com.uy/bekouy/abd5/original/catalogo/DIN35320_DIN35320_3/1024-1024/lavavajillas-panelable-13c-beko-din35320-lavavajillas-panelable-13c-beko-din35320.jpg,3,,
bk-din35320,,,,,,,,,,,,,,https://f.fcdn.app/imgs/09b820/www.tiendabeko.com.uy/bekouy/a129/original/catalogo/DIN35320_DIN35320_4/1024-1024/lavavajillas-panelable-13c-beko-din35320-lavavajillas-panelable-13c-beko-din35320.jpg,4,,
bk-din35320,,,,,,,,,,,,,,https://f.fcdn.app/imgs/ac1989/www.tiendabeko.com.uy/bekouy/d736/original/catalogo/DIN35320_DIN35320_5/1024-1024/lavavajillas-panelable-13c-beko-din35320-lavavajillas-panelable-13c-beko-din35320.jpg,5,,
bk-hic64403t,Anafe vitrocerámico 60cm 4 zonas Beko HIC 64403 T,"<ul><li>Placa vitrocerámica</li><li>9 niveles de potencia</li><li>Temporizador</li><li>4 zonas</li><li>Indicador de calor residual</li><li>Sistema de seguridad por desbordamiento</li><li>Apagado automático</li><li>Bloqueo de seguridad para niños</li><li>Dimensiones del producto (AnxAlxProf.): 59 x 3,7 x 52cm</li><li>Dimensiones del nicho (AnxProf.): 56 x 49cm</li><li>Peso: 8Kg</li><li>Potencia total: 6900W</li><li>Zona izq. frontal: Ø12cm/21cm - 750W/2200W</li><li>Zona der. frontal: Ø16cm - 1500W</li><li>Zona posterior izq.: Ø14cm - 1200W</li><li>Zona posterior der.: Ø14cm/25cm - 1100W/2000W</li><li>Voltaje 220-240V</li><li>Frecuencia 50Hz</li></ul>",Beko,Electro,"Cocinas, Beko, stock-verificado",TRUE,Modelo,Anafe vitrocerámico 60cm 4 zonas Beko HIC 64403 T,HIC 64403 T,499.00,,10,deny,https://f.fcdn.app/imgs/7677c6/www.tiendabeko.com.uy/bekouy/9652/original/catalogo/HIC64403T_HIC64403T_1/1024-1024/anafe-vitroceramico-60cm-4-zonas-beko-hic-64403-t-anafe-vitroceramico-60cm-4-zonas-beko-hic-64403-t.jpg,1,,
bk-hic64403t,,,,,,,,,,,,,,https://f.fcdn.app/imgs/3438a3/www.tiendabeko.com.uy/bekouy/4cfc/original/catalogo/HIC64403T_HIC64403T_2/1024-1024/anafe-vitroceramico-60cm-4-zonas-beko-hic-64403-t-anafe-vitroceramico-60cm-4-zonas-beko-hic-64403-t.jpg,2,,
bk-hic64403t,,,,,,,,,,,,,,https://f.fcdn.app/imgs/5cb6ee/www.tiendabeko.com.uy/bekouy/a1ee/original/catalogo/HIC64403T_HIC64403T_3/1024-1024/anafe-vitroceramico-60cm-4-zonas-beko-hic-64403-t-anafe-vitroceramico-60cm-4-zonas-beko-hic-64403-t.jpg,3,,
bk-hic64403t,,,,,,,,,,,,,,https://f.fcdn.app/imgs/80ddfe/www.tiendabeko.com.uy/bekouy/e443/original/catalogo/HIC64403T_HIC64403T_4/1024-1024/anafe-vitroceramico-60cm-4-zonas-beko-hic-64403-t-anafe-vitroceramico-60cm-4-zonas-beko-hic-64403-t.jpg,4,,
bk-hic64403t,,,,,,,,,,,,,,https://f.fcdn.app/imgs/ba7c43/www.tiendabeko.com.uy/bekouy/78d0/original/catalogo/HIC64403T_HIC64403T_5/1024-1024/anafe-vitroceramico-60cm-4-zonas-beko-hic-64403-t-anafe-vitroceramico-60cm-4-zonas-beko-hic-64403-t.jpg,5,,
bk-hnu71311s,Campana empotrable 80cm Beko HNU71311S,"<ul><li>Control mecánico deslizante Iluminación LED 3 niveles de potencia 2 filtros de carbón 3 filtros metálicos Filtro aptos lavavajillas Capacidad mínima de ventilación: 232 m³/h Capacidad máxima de ventilación: 415 m³/h Nivel mínimo de ruido de ventilación: 52 dBA Nível máximo de ruido de ventilación: 62 dBA Dimensiones del producto (AnxAlxProf.): 79 x 23,8 x 31cm Peso: 7,9Kg Voltaje 220-240V Frecuencia 50Hz</li></ul>",Beko,Electro,"Campanas, Beko",TRUE,Modelo,Campana empotrable 80cm Beko HNU71311S,HNU71311S,349.00,,0,deny,https://f.fcdn.app/imgs/b9e5cb/www.tiendabeko.com.uy/bekouy/adb7/original/catalogo/HNU71311S_HNU71311S_1/1024-1024/campana-empotrable-80cm-beko-hnu71311s-campana-empotrable-80cm-beko-hnu71311s.jpg,1,,
bk-hnu71311s,,,,,,,,,,,,,,https://f.fcdn.app/imgs/22adac/www.tiendabeko.com.uy/bekouy/eaa8/original/catalogo/HNU71311S_HNU71311S_2/1024-1024/campana-empotrable-80cm-beko-hnu71311s-campana-empotrable-80cm-beko-hnu71311s.jpg,2,,
bk-hnu71311s,,,,,,,,,,,,,,https://f.fcdn.app/imgs/a8b9ac/www.tiendabeko.com.uy/bekouy/9be5/original/catalogo/HNU71311S_HNU71311S_3/1024-1024/campana-empotrable-80cm-beko-hnu71311s-campana-empotrable-80cm-beko-hnu71311s.jpg,3,,
bk-hnu71311s,,,,,,,,,,,,,,https://f.fcdn.app/imgs/615862/www.tiendabeko.com.uy/bekouy/5527/original/catalogo/HNU71311S_HNU71311S_4/1024-1024/campana-empotrable-80cm-beko-hnu71311s-campana-empotrable-80cm-beko-hnu71311s.jpg,4,,
bk-hnu71311s,,,,,,,,,,,,,,https://f.fcdn.app/imgs/1a4e3b/www.tiendabeko.com.uy/bekouy/1266/original/catalogo/HNU71311S_HNU71311S_5/1024-1024/campana-empotrable-80cm-beko-hnu71311s-campana-empotrable-80cm-beko-hnu71311s.jpg,5,,
bk-bbcm12300x,Horno empotrable compacto 48L con grill 45cm Beko BBCM12300X,"<ul><li>Volumen 48L</li><li>8 funciones</li><li>Grill eléctrico</li><li>1 guía telescópica</li><li>3 niveles de altura</li><li>Pantalla LED</li><li>Control touch y análogo</li><li>Convector trasero</li><li>Puerta de cristal extraíble</li><li>Cavidad de esmalte negro</li><li>Autolimpieza de vapor SteamShine®</li><li>Pared trasera y laterales catalíticas</li><li>Bloqueo de seguridad para niños</li><li>Incluye rejilla y asadera</li><li>Dimensiones del producto (AnxAlxProf.): 59,4 x 45,5 x 56,7cm</li><li>Dimensiones del nicho (AnxAlxProf.): 56 x 45 x 55cm</li><li>Peso: 27,6Kg</li><li>Potencia eléctrica 2400W</li><li>Voltaje 220-240 V</li><li>Freuencia 50Hz</li></ul>",Beko,Electro,"Cocinas, Beko",TRUE,Modelo,Horno empotrable compacto 48L con grill 45cm Beko BBCM12300X,BBCM12300X,799.00,,0,deny,https://f.fcdn.app/imgs/715f98/www.tiendabeko.com.uy/bekouy/cce8/original/catalogo/BBCM12300X_BBCM12300X_1/1024-1024/horno-empotrable-compacto-48l-con-grill-45cm-beko-bbcm12300x-horno-empotrable-compacto-48l-con-grill-45cm-beko-bbcm12300x.jpg,1,,
