Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position
cs-filtro-antiolor-heladera-consul-crm50-crm56,Filtro antiolor heladera Consul CRM50/CRM56 - W11360276,<p><span>Filtro antiolor para heladera Consul. Compatible con modelos CRM50/CRM56.</span></p>,Consul,Accesorios,"Repuestos, Consul",TRUE,Modelo,Default Title,47511909236885,15.35,,0,deny,https://cdn.shopify.com/s/files/1/0404/5540/5717/files/Filtroantiolor.jpg?v=1782852315,1
cs-filtro-bienestar-heladera-consul-crm50-crm55-crm44-crm51,Filtro Bienestar heladera Consul CRM50/CRM55/CRM44/CRM51 - W10515645,<p><span>Filtro Bienestar para heladera Consul. Compatible con modelos CRM50/CRM55/CRM44/CRM51. </span></p>,Consul,Accesorios,"Repuestos, Consul, stock-verificado",TRUE,Modelo,Default Title,47511901765781,20.46,,10,deny,https://cdn.shopify.com/s/files/1/0404/5540/5717/files/Filtrobienestar.jpg?v=1782852203,1
cs-heladera-consul-no-frost-crm50jkduw,Heladera 438L Consul Evox No Frost CRM50JKDUW,"<p>Heladera- Evox- 438 Litros</p>
<p>• Deshielo: No Frost<br>• Puertas: 2<br>• Configuración: 220V-50Hz<br>• Cantidad de masa refrigerante: 44 g<br>• Iluminación: LED<br>• Patas estabilizadoras<br>• Control de temperatura: interno</p>
<p><strong>Capacidad refrigerador:</strong> 314 lts<br><strong>Capacidad freezer:</strong> 124 lts</p>
<p><strong>Medidas</strong> (al x an x prof):<br>174 x 70 x 72,1 cm</p>
<p><strong>Medidas de embalaje</strong> (al x an x prof):<br>178,1 x 74,6 x 74,8 cm</p>
<p><strong>Peso: </strong>71 kg</p>
<p>Tipo de Embalaje: Termosellado/ Shrink</p>
<p>Garantía: 10 años de garantía en el compresor, 2 años por defecto de fabricación.</p>",Consul,Electro,"Heladeras, Consul, stock-verificado",TRUE,Modelo,Default Title,47489977483413,1114.07,,10,deny,https://cdn.shopify.com/s/files/1/0404/5540/5717/files/1-CRM50JKDUW.jpg?v=1782390455,1
cs-heladera-consul-no-frost-crm50jkduw,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0404/5540/5717/files/2-CRM50JKDUW.jpg?v=1782390454,2
cs-heladera-consul-no-frost-crm50jkduw,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0404/5540/5717/files/3-CRM50JKDUW.jpg?v=1782390454,3
cs-heladera-consul-no-frost-crm50jkduw,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0404/5540/5717/files/4-CRM50JKDUW.jpg?v=1782390454,4
cs-heladera-consul-no-frost-crm50jkduw,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0404/5540/5717/files/5-CRM50JKDUW.jpg?v=1782390454,5
cs-heladera-479l-inox-no-frost-crm56jkduw-consul,Heladera 479L Consul Inox No Frost CRM56JKDUW,"<p><span>Posee dos cubeteras y un cajón para almacenar el hielo. </span><span>Compartimiento para conservar las frutas y/o verduras. </span><span>Cuenta con patas estabilizadores que permiten nivelar adecuadamente la heladera para evitar ruidos y vibraciones.</span></p>
<p>Heladera- Inox- 479 Litros</p>
<p><strong>Espacio Adapt</strong><br>Estantes y bandejas que se pueden ajustar para optimizar el espacio.</p>
<p><strong>Control externo de temperatura</strong><br>Permite controlar la temperatura del refrigerador sin necesidad de abrir la puerta.</p>
<p><strong>Modos especiales</strong><br>Compras o Fiesta: funciones para cada momento, que optimizan la temperatura según la necesidad.</p>
<p><strong>Extra Frio</strong><br>Compartimiento especial para enfriar más rápido los alimentos.</p>
<p><strong>Panel seguro</strong><br>Función que permite bloquear y desbloquear el panel de control.<br></p>
<p>Sistema de descongelamiento: No Frost<br>Capacidad bruta<br>Total: 479L<br>Refrigerador: 355L<br>Freezer: 124L</p>
<p>Capacidad neta <br>Total: 451L<br>Refrigerador: 353L<br>Freezer: 98L</p>
<p>Color: Inox<br><strong>Origen: Brasil</strong></p>
<p><strong>Dimensiones del producto</strong> (Al x An x Prof): <br>186 x 70,2 X 72,1 cm<br>Ancho total del producto con las puertas abiertas a 90°: 117, 5 cm<br><br><strong>Dimensiones caja</strong> (Al x An x Prof): <br>189,5 x 73,2 x 74,5 cm<br><br><strong>Peso: 76 kg</strong><br><strong>Peso caja: 77 kg </strong></p>
<p><span><strong>• </strong></span>Rango de temperatura: Maximo - Medio - Minimo (Refrigerador) <br><span><strong>• </strong></span>Puerta Reversible: No<br><span><strong>• </strong></span>Display / Panel Touch: Si<br><span><strong>• </strong></span>Control de temperatura: Externo<br><span><strong>• </strong></span>Compartimento extrafrío: Si<br><span><strong>• </strong></span>Recipiente para hielo: Cubeteras<br><span><strong>• </strong></span>Congelamiento rápido: Si, Freezer Max<br><span><strong>• </strong></span>Alarma de puerta: Si<br><span><strong>• </strong></span>Traba de seguridad: Trabar y destrabar panel<br><span><strong>• </strong></span>Material de estantes: Vidrio<br><span><strong>• </strong></span>Cantidad de estantes en el refrigerador: 3<br><span><strong>• </strong></span>Cantidad de estantes en el freezer: 1<br><span><strong>• </strong></span>Crisper especial multiuso: Si<br><span><strong>• </strong></span>Crisper para frutas: Si, 1 frutas y 1 verduras</p>",Consul,Electro,"Heladeras, Consul, stock-verificado",TRUE,Modelo,Default Title,47486768939157,1165.22,,10,deny,https://cdn.shopify.com/s/files/1/0404/5540/5717/files/CRM56JKDUW-7.jpg?v=1782334522,1
cs-heladera-479l-inox-no-frost-crm56jkduw-consul,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0404/5540/5717/files/CRM56JKDUW-6.jpg?v=1782334522,2
cs-heladera-479l-inox-no-frost-crm56jkduw-consul,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0404/5540/5717/files/CRM56JKDUW-4.jpg?v=1782334522,3
