Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position,Status,Command
dr-ppp6a6i10,Anafe a gas Bosch PPP6A6I10 Vidrio 60 cm,"<ul><li>• FlameSelect: ajuste preciso de la llama con 9 niveles para elegir</li><li>• Mesada de Cristal Templado: Diseño vanguardista en negro, altamente resistente y fácil de limpiar</li><li>• Parrillas de Hierro Fundido: soporte firme y limpieza fácil.</li><li>• 4 Quemadores de Gas: Incluye quemador rápido de 3 kW para cocciones potentes y veloces</li><li>• Sistema de Seguridad Gas Stop: corta el gas cuando se apaga la llama del quemador</li><li>• Mandos metálicos ergonómicos para un manejo sencillo y preciso</li><li>• Parrillas lavables en el lavavajillas: máxima comodidad a la hora de la limpieza</li><li>• Autoencendido integrado en el mando</li><li>• Versatilidad de Gas: Configurada para gas natural con inyectores para gas butano incluidos</li><li>• Dimensiones del aparato (alto x ancho x fondo): 54 x 590 x 520 mm</li><li>• Dimensiones de encastre (ancho x fondo x alto): 560 x 480 x 45 mm</li></ul>",Bosch,Electro,"Cocinas, Bosch, stock-verificado",TRUE,Color,Anafe a gas Bosch PPP6A6I10 Vidrio 60 cm,PPP6A6I10,30880.00,,10,deny,https://f.fcdn.app/imgs/dd0ce2/www.diaril.com.uy/diaruy/3a27/original/catalogo/PPP6A6I10_PPP6A6I10_1/1000x1000/anafe-a-gas-bosch-ppp6a6i10-vidrio-60-cm-anafe-a-gas-bosch-ppp6a6i10-vidrio-60-cm.jpg,1,,
dr-ppp6a6i10,,,,,,,,,,,,,,https://f.fcdn.app/imgs/b8dd25/www.diaril.com.uy/diaruy/3a27/original/catalogo/PPP6A6I10_PPP6A6I10_1/1500-1500/anafe-a-gas-bosch-ppp6a6i10-vidrio-60-cm-anafe-a-gas-bosch-ppp6a6i10-vidrio-60-cm.jpg,2,,
dr-ppp6a6i10,,,,,,,,,,,,,,https://f.fcdn.app/imgs/71f207/www.diaril.com.uy/diaruy/3a27/original/catalogo/PPP6A6I10_PPP6A6I10_1/1920-1200/anafe-a-gas-bosch-ppp6a6i10-vidrio-60-cm-anafe-a-gas-bosch-ppp6a6i10-vidrio-60-cm.jpg,3,,
dr-ppp6a6i10,,,,,,,,,,,,,,https://f.fcdn.app/imgs/3abc15/www.diaril.com.uy/diaruy/32e9/original/catalogo/PPP6A6I10_PPP6A6I10_2/1500-1500/anafe-a-gas-bosch-ppp6a6i10-vidrio-60-cm-anafe-a-gas-bosch-ppp6a6i10-vidrio-60-cm.jpg,4,,
dr-ppp6a6i10,,,,,,,,,,,,,,https://f.fcdn.app/imgs/35dea6/www.diaril.com.uy/diaruy/32e9/original/catalogo/PPP6A6I10_PPP6A6I10_2/1920-1200/anafe-a-gas-bosch-ppp6a6i10-vidrio-60-cm-anafe-a-gas-bosch-ppp6a6i10-vidrio-60-cm.jpg,5,,
dr-ppp6a6i10,,,,,,,,,,,,,,https://f.fcdn.app/imgs/4dafda/www.diaril.com.uy/diaruy/32e9/original/catalogo/PPP6A6I10_PPP6A6I10_2/1000x1000/anafe-a-gas-bosch-ppp6a6i10-vidrio-60-cm-anafe-a-gas-bosch-ppp6a6i10-vidrio-60-cm.jpg,6,,
dr-ppp6a6i10,,,,,,,,,,,,,,https://f.fcdn.app/imgs/96a5e3/www.diaril.com.uy/diaruy/fdcd/original/catalogo/PPP6A6I10_PPP6A6I10_3/1500-1500/anafe-a-gas-bosch-ppp6a6i10-vidrio-60-cm-anafe-a-gas-bosch-ppp6a6i10-vidrio-60-cm.jpg,7,,
dr-ppp6a6i10,,,,,,,,,,,,,,https://f.fcdn.app/imgs/305083/www.diaril.com.uy/diaruy/fdcd/original/catalogo/PPP6A6I10_PPP6A6I10_3/1920-1200/anafe-a-gas-bosch-ppp6a6i10-vidrio-60-cm-anafe-a-gas-bosch-ppp6a6i10-vidrio-60-cm.jpg,8,,
dr-hsg7361b1,Horno de empotrar Bosch HSG7361B1 100% Vapor,"<ul><li>• Horno con 3 formas de cocción: 100% Vapor, cocción tradicional con aporte de vapor o cocción convencional.</li><li>• 21 métodos de cocción: Sistema de calentamiento 4D Profesional, Calor superior e inferior, Grill con aire caliente, Grill de amplia superficie, Grill, Función pizza, Calor inferior, cocción suave a baja temperatura, Precalentar vajilla, mantener caliente, Aire caliente suave, hornear suave, vapor 100%, vapor añadido, Regenerar con vapor, Fermentación, descongelar, aire caliente con grill + vapor, mantener caliente + vapor, aire caliente 4D profesional + vapor, Aire caliente arriba y abajo + vapor.</li><li>• Rango de temperatura 30°C a 250°C.</li><li>• Capacidad: 71 litros.</li><li>• 5 alturas de colocación de bandejas.</li><li>• Panel de mandos Touch Control.</li><li>• Panel trasero autolimpiante.</li><li>• Asistente de limpieza con agua.</li><li>• Asistente de control de voz.</li><li>• Reloj electrónico programable de inicio y paro de cocción.</li><li>• Asistente de cocción Assist: recetas y recomendaciones de cocción.</li><li>• Golpe de vapor: inyección extra de vapor en el momento elegido.</li><li>• Diferentes intensidades de vapor: alto, medio y bajo.</li><li>• Iluminación LED en el interior del horno.</li><li>• Indicador de falta de agua.</li><li>• Generación de vapor fuera de la cavidad.</li><li>• Indicación de temperatura interior del horno en cada momento.</li><li>• Accesorios: Bandeja plana, Bandeja para vapor perforada tamaño M, Bandeja grande para vapor perforada, Bandeja para vapor sin perforar tam. M, Parrilla, Bandeja profunda, Bandeja AirFry.</li><li>• Autodesconexión de seguridad.</li><li>• Bloqueo de seguridad para niños.</li><li>• Dimensiones del aparato (alto x ancho x fondo): 595x594x548 mm.</li><li>• Dimensiones de encastre (alto x ancho x fondo): 585-595x560-568x 550 mm.</li></ul>",Bosch,Electro,"Cocinas, Bosch, stock-verificado",TRUE,Color,Horno de empotrar Bosch HSG7361B1 100% Vapor,HSG7361B1,135500.00,,10,deny,https://f.fcdn.app/imgs/014d45/www.diaril.com.uy/diaruy/171d/original/catalogo/HSG7361B1_HSG7361B1_1/1000x1000/horno-de-empotrar-bosch-hsg7361b1-100-vapor-horno-de-empotrar-bosch-hsg7361b1-100-vapor.jpg,1,,
dr-hsg7361b1,,,,,,,,,,,,,,https://f.fcdn.app/imgs/b47122/www.diaril.com.uy/diaruy/171d/original/catalogo/HSG7361B1_HSG7361B1_1/1500-1500/horno-de-empotrar-bosch-hsg7361b1-100-vapor-horno-de-empotrar-bosch-hsg7361b1-100-vapor.jpg,2,,
