Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position,Status,Command
dg-ep25702,Lámpara veladora led proyectora 10.5x11.5cm. Negra,"<ul><li>Lampara veladora led con diseño de estrellas.</li><li>Dimensiones: 10,5 cm de diametro x 11,5 cm de alto.</li><li>Funcionamiento a pila (3 pilas AA No incluidas) o por conexión USB 5V (Cable USB incluido).</li><li>Iluminación led, luz blanca o multicolor.</li><li>Con proyección de estrellas.</li><li>Color: negro.</li><li>Marca: Vigore</li></ul>",Diego,Iluminación,"Lámparas, stock-verificado",TRUE,Título,Default Title,EP25702,150.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_35447.jpg,1,,
dg-ep23301,Jarra eléctrica vigore 2L,<ul><li>Jarra eléctrica de acero inoxidable con base giratoria.</li><li>Apagado de seguridad por sobrecalentamiento al hervir.</li><li>Tapa con cierre de seguridad.</li><li>Luz led roja indicadora.</li><li>220-240 V.</li><li>AC 50-60Hz.</li><li>2000w.</li><li>Capacidad 2 litros.</li><li>Medidas. 203 x 165 x 230 mm.</li><li>Cable: 50cm.</li></ul>,Diego,Hogar,"Cocina, stock-verificado",TRUE,Título,Default Title,EP23301,405.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_22792.jpg,1,,
dg-hw63590,Saca corchos a presión 19cm,"<ul><li>Abridor de vino, práctico y muy funcional.</li><li>Bomba de aire a presión.</li><li>Medidas: 19cm.</li><li>En caja.</li></ul>",Diego,Hogar,"Utensilios de Cocina, stock-verificado",TRUE,Título,Default Title,HW63590,300.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_28407.jpg,1,,
dg-hw63737,Seca de platos de silicona 36x31x12.5cm,"<ul><li>Seca platos moderno ypráctico.</li><li>Se pliega y se guarda en cualquier rincón.</li><li>Ideal para todo tipo de cocinas: grandes, medianas y pequeñas.</li><li>Medidas abierto: 36x31x12,5cm.</li><li>Medidas cerrado: 36x31x5,5cm.</li><li>Material: Silicona y plástico duro.</li><li>Colores: Negro y blanco, rojo, azul, gris.*SUJETOS A DISPONIBILIDAD DE STOCK*</li></ul>",Diego,Hogar,"Cocina, stock-verificado",TRUE,Título,Default Title,HW63737,225.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_2945.jpg,1,,
dg-hw63737,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_14770.jpg,2,,
dg-hw63737,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_14768.jpg,3,,
dg-hw63737,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_14769.jpg,4,,
dg-kc44548,Seca platos Vigore 39x40x26cm,"<ul><li>Escurridor de platos en dos niveles, de metal cromado.</li><li>Con accesorios para cubiertos, vasos y copas.</li><li>Medidas: Altura 39cm, largo 40cm, ancho 26cm.</li></ul>",Diego,Hogar,"Cocina, stock-verificado",TRUE,Título,Default Title,KC44548,450.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_2992.jpg,1,,
dg-op3239,Set de camping plegable 85x65cm,"<ul><li>Mesa plegable y transportable para camping con 4 bancos y valija.</li><li>De montaje simple y rápido.</li><li>Ideal para playa, camping y demás.</li><li>Dimensiones: - 85 X 65 cm. para 4 personas</li><li>Valija de 32 x 85 x 10 (cerrada).</li></ul>",Diego,Camping,"Camping, stock-verificado",TRUE,Título,Default Title,OP3239,3435.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_3020.jpg,1,,
dg-ep25848,Lámpara veladora led unicornio 33x20x3cm. Rosada,<ul><li>Lámpara veladora led unicornio.</li><li>Medidas: 33x20x3cm.</li><li>Color: Rosado.</li><li>Material: plástico.</li><li>Funcionamiento: 2 pilas AA (no incluidas).</li><li>Luz cálida.</li></ul>,Diego,Iluminación,"Lámparas, stock-verificado",TRUE,Título,Default Title,EP25848,210.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_47160.jpg,1,,
dg-kc50587,Secador de lechuga / vegetales 16 x 22 x 22 cm,<ul><li>Secador de lechugas y vegetales.</li><li>Peso: 345g.</li><li>Capacidad: 3lt.</li><li>Material: Plástico.</li><li>Medidas aproximadas del producto: 16 x 22 x 22 cm.</li><li>Disponible en color: blanco y verde.</li><li>*COLORES SUJETOS A DISPONIBILIDAD DE STOCK*</li></ul>,Diego,Hogar,"Cocina, stock-verificado",TRUE,Título,Default Title,KC50587,375.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_3010.jpg,1,,
dg-kc50587,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_10143.jpg,2,,
dg-kc50587,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_10144.jpg,3,,
dg-sp35644,Alarma para pesca,"<ul><li>Alarma para pesca avisador de picada.</li><li>Dispositivo de alarma con luz de sonido.</li><li>Volumen máximo de hasta 80dB.</li><li>Portátil y de fácil instalación.</li><li>Funciona con pilas de reloj 3 x RL44 (incluidas).</li><li>Contiene: 1 alarma de pesca y engarce.</li><li>Funcionamiento: al picar, la linea hala el gatillo, y emite un fuerte sonido audible incluso a larga distancia.</li></ul>",Diego,Camping,"Pesca, stock-verificado",TRUE,Título,Default Title,SP35644,135.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_46293.jpg,1,,
dg-sp35644,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_3458.jpg,2,,
dg-gf32916,Lámpara veladora Led Cisne,<ul><li>Lámpara LED con forma de cisne</li><li>Hermosa veladora LED de madera con forma de cisne. Especial para adornar todo tipo de habitaciones.</li><li>Disponible en dos colores: Rosa y celeste.</li><li>GF32916</li></ul>,Diego,Iluminación,"Lámparas, stock-verificado",TRUE,Título,Default Title,GF32916,585.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_2839.jpg,1,,
dg-gf32916,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_2840.jpg,2,,
dg-at4745,Respaldo anatómico para Auto / oficina 39x45cm,"<ul><li>Respaldo anatómico.</li><li>Medidas: 39x45cm</li><li>Para descanso de columna, corregir postura y aliviar dolores.</li><li>Para utilizar en casa, en la oficina e incluso en su auto.</li></ul>",Diego,Accesorios,"Accesorios Auto, stock-verificado",TRUE,Título,Default Title,AT4745,105.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_2805.jpg,1,,
dg-at4745,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_2806.jpg,2,,
dg-sp37026,Pelota de pilates 75cm,"<ul><li>Pelota de pilates de 75cm.</li><li>Super resistentes.</li><li>Superficie texturada lavable.</li><li>Potencia músculos, espaldas y abdominales.</li><li>Excelente para las articulaciones.</li><li>Variedad de colores: Azul, violeta, gris, rosa y rojo. *COLOR SUJETO A DISPONIBILIDAD DE STOCK*</li><li>*LOS PRODUCTOS INFLABLES NO TIENEN CAMBIO*</li></ul>",Diego,Deporte,"Indumentaria, stock-verificado",TRUE,Título,Default Title,SP37026,450.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_3515.jpg,1,,
dg-sp37026,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_10159.jpg,2,,
dg-ep16659,"Cartel led ""Abierto "" 220 V 48x25cm.","<ul><li>Cartel Led ""ABIERTO""  220V.</li><li>Medidas: 48x25cm.</li></ul>",Diego,Iluminación,"Luces LED, stock-verificado",TRUE,Título,Default Title,EP16659,600.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_2814.jpg,1,,
dg-ep16659,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_2813.jpg,2,,
dg-sp36114,Barras para flexiones 12.5 x 15 cm,<ul><li>Barras para flexiones.</li><li>Medidas aproximadas del producto: 12.5 x 15 cm</li><li>Estructura en pvc rígido.</li><li>Posee base texturada en goma para evitar deslizamiento y puño acolchonado para mejor sujeción.</li></ul>,Diego,Deporte,"Indumentaria, stock-verificado",TRUE,Título,Default Title,SP36114,300.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_38638.jpg,1,,
dg-sp36114,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_38639.jpg,2,,
dg-sp36144,Escalera de coordinación reforzada con bolso 3 mts.,<ul><li>Escalera de coordinación reforzada con bolso.</li><li>Ideal para usar en entrenamiento funcional.</li><li>Medida: 3mts.</li><li>Disponible en color: negro y amarillo. *COLOR Y DISEÑO SUJETO A DISPONIBILIDAD DE STOCK*</li></ul>,Diego,Deporte,"Indumentaria, stock-verificado",TRUE,Título,Default Title,SP36144,405.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_3488.jpg,1,,
dg-sp36144,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_3489.jpg,2,,
dg-hw65919,Piso tatami encastrable x 4 - 60 x 60 x 1 cm,"<ul><li>Set de 4 cuadrados encastrables de piso tatami.</li><li>Cada cuadrado mide 60 x 60 x 1 cm</li><li>Colores disponibles: Negro y gris</li><li>Anti golpe, anti impacto y anti deslizante.</li><li>No absorbe agua ni humedad.</li></ul>",Diego,Hogar,"Decoración, stock-verificado",TRUE,Título,Default Title,HW65919,450.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_2963.jpg,1,,
dg-hw65918,Piso tatami encastrable 100 x 100 x 2 cm,"<ul><li>Piso tatami encastrable.</li><li>Cada cuadrado mide 100 x 100 x 2 cm.</li><li>Color negro de un lado y gris del otro.</li><li>Anti golpe, anti impacto y anti deslizante.</li><li>No absorbe agua ni humedad.</li></ul>",Diego,Hogar,"Decoración, stock-verificado",TRUE,Título,Default Title,HW65918,900.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_2960.jpg,1,,
dg-jkc10012,Tijera cortador para pizza 27.5 x 7.7 x 6.7 cm.,<ul><li>Tijera cortador para pizza.</li><li>Cuchillas de acero inoxidable.</li><li>La pala tiene un revestimiento antiadherente para servir las partes de pasteles y pizzas con facilidad.</li><li>Mango libre de BPA y apto para lavavajillas.</li><li>Espátula extraíble que facilita su limpieza.</li><li>Medidas aproximadas del producto: 27.5 x 7.7 x 6.7 cm.</li></ul>,Diego,Hogar,"Utensilios de Cocina, stock-verificado",TRUE,Título,Default Title,JKC10012,135.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_2983.jpg,1,,
dg-jkc10012,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_2982.jpg,2,,
dg-jkc10015,Manguera para regadera flexible 1.5m.,<ul><li>Manguera para regadera flexible.</li><li>Medida: 1.5m de largo.</li><li>Con filtro incluido.</li></ul>,Diego,Hogar,"Utensilios de Cocina, stock-verificado",TRUE,Título,Default Title,JKC10015,495.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_2986.jpg,1,,
dg-jkc10015,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_2987.jpg,2,,
dg-chw02370,Cepillo removedor de pelos 31cm. Gris,"<ul><li>Cepillo removedor de pelos para ropa y telas.</li><li>El cepillo extra grande de 31 cm, el poder de limpieza de este cepillo de cerdas de doble cara que enfrenta con toda eficacia la difícil tarea de eliminar el pelo de las mascotas de la ropa y toda superficie de tela, haciendolo dos veces más rápido que otros quitapelos, no daña la ropa ni los muebles.</li><li>Dispone de una base de auto limpieza de 21 cm x 7 cm, forrada con las mismas cerdas de microfibra que cubren el cepillo, simplemente introcucir el cepillo hasta el fondo de la base y se limpia.</li><li>La suciedad se acumula en la bandeja de recolección en la parte inferior de la base, la cual cuando está llena, también se vacia, para seguir depositandose más pelos.</li></ul>",Diego,Hogar,"Limpieza, stock-verificado",TRUE,Título,Default Title,CHW02370,210.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_55809.jpg,1,,
dg-sp37008b,Colchón inflable negro para auto 130x84x35 cm,<ul><li>Colchón inflable para auto.</li><li>Medidas: 130x84x35 cm.</li><li>Incluye inflador eléctrico con adaptador 12V.</li><li>Color: negro.</li><li>En caja.</li><li>*LOS PRODUCTOS INFLABLES NO TIENEN CAMBIO.*</li></ul>,Diego,Accesorios,"Accesorios Auto, stock-verificado",TRUE,Título,Default Title,SP37008B,2250.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_22563.jpg,1,,
dg-sp37008b,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_22786.jpg,2,,
dg-sp37008b,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_3300.jpg,3,,
dg-sp37008b,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_3301.jpg,4,,
dg-sp37008b,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_22782.jpg,5,,
dg-sp37008b,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_22784.jpg,6,,
dg-jtl3005,Toldo sombra marrón 3 x 3 mts.,"<ul><li>Toldo sombra marrón 3 x 3 mts.</li><li>Material: 100% poliéster.</li><li>Material de alta calidad con secado rápido, resistente al agua, a la corrosión y al moho.</li></ul>",Diego,Camping,"Camping, stock-verificado",TRUE,Título,Default Title,JTL3005,975.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_10347.png,1,,
dg-chw01806,Balanza de cocina digital Vigore 14.4 x 24 cm,<ul><li>Balanza de cocina digital Vigore.</li><li>Soporta hasta 10 kilos</li><li>1 gramo de precisión.</li><li>Función tara.</li><li>Apagado automático</li><li>Funciona con 2 pilas AAA (incluidas).</li><li>Medidas: 14.4 x 24 cm.</li></ul>,Diego,Ferretería,"Ferretería, stock-verificado",TRUE,Título,Default Title,CHW01806,210.00,,10,deny,https://www.diego.com.uy/imgs/productos/_original_28482.jpg,1,,
dg-chw01806,,,,,,,,,,,,,,https://www.diego.com.uy/imgs/productos/_original_2884.jpg,2,,
