Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position
fy-clc-855-gm-bk-ss-maquina-de-cafe-automatica-empotrable-cafe-en-grano-y-o-molido,CLC 855 GM BK-SS Máquina de café automática empotrable café en grano y/o molido,"Máquina de café automática incorporada Función de autolimpieza Intensidad y regulación del tamaño del café Pantalla de control táctil con perillas 30 programas automáticos Capacidad: 2 tazas a la vez Sistema de altura ajustable para diferentes tamaños de copa Espumador de leche y tubería de agua caliente Molinillo de acero integrado para granos de café naturales Contenedor de granos de café, capacidad de 200 gramos Disponibilidad para café molido Presión de la bomba de 15 bar Depósito de agua de 1,8 litros Contenedor de residuos Función de descalcificación Instalación con rieles telescópicos para sacar fácilmente la cafetera Descargar ficha técnica",TEKA,Electro,"Cafeteras, TEKA, stock-verificado",TRUE,Título,Default Title,915CLC855GM,2952.0,,10,deny,https://fymelco.com.uy/wp-content/uploads/2026/03/PR2077BI19450_41598030_CLC_855_GM_BK_SS_SZ1.png.webp,1
fy-clc-855-gm-bk-ss-maquina-de-cafe-automatica-empotrable-cafe-en-grano-y-o-molido,,,,,,,,,,,,,,https://fymelco.com.uy/wp-content/uploads/2026/03/855-upr.jpg,2
fy-clc-855-gm-bk-ss-maquina-de-cafe-automatica-empotrable-cafe-en-grano-y-o-molido,,,,,,,,,,,,,,https://fymelco.com.uy/wp-content/uploads/2026/03/teka-clc-855-2-e84999291921c6a7ec17467286908136-1024-102.webp,3
fy-clc-855-gm-bk-ss-maquina-de-cafe-automatica-empotrable-cafe-en-grano-y-o-molido,,,,,,,,,,,,,,https://fymelco.com.uy/wp-content/uploads/2026/03/PR2077BI19452_41598030_CLC_855_GM_BK_SS_SZ3.webp,4
fy-clc-855-gm-bk-ss-maquina-de-cafe-automatica-empotrable-cafe-en-grano-y-o-molido,,,,,,,,,,,,,,https://fymelco.com.uy/wp-content/uploads/2026/03/PR2077BI19450_41598030_CLC_855_GM_BK_SS_SZ3.webp,5
fy-clc-855-gm-bk-ss-maquina-de-cafe-automatica-empotrable-cafe-en-grano-y-o-molido,,,,,,,,,,,,,,https://fymelco.com.uy/wp-content/uploads/2026/03/CLC-855-MC-New-Drawing.webp,6
fy-clc-855-gm-bk-ss-maquina-de-cafe-automatica-empotrable-cafe-en-grano-y-o-molido,,,,,,,,,,,,,,https://fymelco.com.uy/wp-content/uploads/2026/03/PR2077BI19450_41598030_CLC_855_GM_BK_SS_SZ1.png.webp,7
fy-jzc-64322-abb-anafe-teka-vitroceramica-induccion-2-zonas-gas-2-zonas,JZC 64322 ABB Anafe TEKA vitrocerámica inducción 2 zonas gas 2 zonas,"Anafe hibrido combinado preparado para gas de garrafa Una unidad de cristal vitrocerámico biselado frontal Quartzium Ceran Inducción: TouchControl Multislider Inducción: Bloqueo de seguridad Inducción: Función Power Plus Inducción: Funciones especiales de cocinado: Simmering, melting y keepwarm Inducción: Detector de recipientes Gas: Parrillas de hierro fundido Gas: Tapas de los quemadores de hierro fundido Gas: Perillas ergonómicas frontales Gas:Seguridad por termopar integrada en cada quemador Gas: Encendido electrónico integrado en cada mando Gas: Exactflame (control preciso de la flama) Zonas de cocción: -1 Zona Rápida (180 mm.ø): 2.100 W. -1 Zona Rápida (145 mm.ø): 1.500 W. -1 Quemador Gas Semi Rápido: 1,75 kW. -1 Quemador Gas Auxiliar: 1,0 kW. Potencia nominal máxima (gas): 2,75 kW. Potencia nominal máxima (inducción): 3.500 W. Voltaje: 220 – 240V~ Frecuencia: 50-60 Hz Dimensiones Exterior (Alto/Ancho/Fondo): 55/600/510 mm Descargar ficha técnica",TEKA,Electro,"Cocinas, TEKA, stock-verificado",TRUE,Título,Default Title,902JZC64322,1232.0,,10,deny,https://fymelco.com.uy/wp-content/uploads/2026/03/JZC-64322-BK-View-1.png,1
fy-jzc-64322-abb-anafe-teka-vitroceramica-induccion-2-zonas-gas-2-zonas,,,,,,,,,,,,,,https://fymelco.com.uy/wp-content/uploads/2026/03/JZC-64322-BK-Ambient-2.png,2
fy-jzc-64322-abb-anafe-teka-vitroceramica-induccion-2-zonas-gas-2-zonas,,,,,,,,,,,,,,https://fymelco.com.uy/wp-content/uploads/2026/03/JZC-64322-BK-View-1.png,3
