Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position
gb-aire-acondiconado-aaenx9-24-000-btu-enxuta,Aire Acondiconado – AAENX9 – 24.000 BTU – Enxuta,Aire Acondiconado – AAENX9 – 24.000 BTU – Enxuta,Enxuta,Electro,"Otros, Enxuta",TRUE,Título,Default Title,AAENX9-24000,729.0,,10,deny,https://gelbring.com.uy/wp-content/uploads/2026/05/AAENX9-interior-800x800-1.png,1
gb-aire-acondiconado-aaenx9-24-000-btu-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/07/AAENX9-control-remoto-800x800-1-1.png,2
gb-aire-acondiconado-aaenx9-24-000-btu-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/05/AAENX9-exterior-izquierda-800x800-1.png,3
gb-aire-acondiconado-aaenx9-24-000-btu-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/07/AAENX9-exterior-frente-800x800-1.png,4
gb-aire-acondiconado-aaenx9-24-000-btu-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/07/AAENX9-exterior-derecha-800x800-1.png,5
gb-aire-acondiconado-aaenx9-12-000-btu-enxuta,Aire Acondiconado – AAENX9 – 12.000 BTU – Enxuta,Aire Acondiconado – AAENX9 – 12.000 BTU – Enxuta,Enxuta,Electro,"Otros, Enxuta",TRUE,Título,Default Title,AAENX9-12000,345.0,,10,deny,https://gelbring.com.uy/wp-content/uploads/2026/07/AAENX9-interior-eficiencia-800x800-1.png,1
gb-aire-acondiconado-aaenx9-12-000-btu-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/07/AAENX9-control-remoto-800x800-1-1-1.png,2
gb-aire-acondiconado-aaenx9-12-000-btu-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/05/etiqueta-AAENX9-12000-pdf.jpg,3
gb-aire-acondiconado-aaenx9-12-000-btu-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/07/AAENX9-exterior-frente-800x800-1.png,4
gb-aire-acondiconado-aaenx9-12-000-btu-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/07/AAENX9-exterior-izquierda-800x800-1.png,5
gb-aire-acondiconado-aaenx9-12-000-btu-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/07/AAENX9-exterior-derecha-800x800-1.png,6
gb-refrigerador-no-frost-multi-door-renxmd22430i-enxuta,Refrigerador No frost Multi door – RENXMD22430I – Enxuta,Refrigerador No frost Multi door – RENXMD22430I – Enxuta,Enxuta,Electro,"Heladeras, Enxuta",TRUE,Título,Default Title,RENXMD22430I,999.0,,10,deny,https://gelbring.com.uy/wp-content/uploads/2026/06/RENXMD22430I-10-anos-800x800-1.png,1
gb-refrigerador-no-frost-multi-door-renxmd22430i-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/RENXMD22430I-abierto-lleno-800x800-1.png,2
gb-refrigerador-no-frost-multi-door-renxmd22430i-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/RENXMD22430I-abierto-800x800-1.png,3
gb-refrigerador-no-frost-multi-door-renxmd22430i-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/Eficiencia-.jpg,4
gb-refrigerador-no-frost-multi-door-renxmd22430i-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/Marca-de-conformidad-CP-S-1164-3_page-0001-scaled.jpg,5
gb-refrigerador-no-frost-side-by-side-inverter-renxsbs22515i-enxuta,Refrigerador No Frost Side by Side Inverter – RENXSBS22515I – Enxuta,Refrigerador No Frost Side by Side Inverter – RENXSBS22515I – Enxuta,Enxuta,Electro,"Heladeras, Enxuta",TRUE,Título,Default Title,RENXSBS22515I,1349.0,,10,deny,https://gelbring.com.uy/wp-content/uploads/2026/06/RENXSBS22515I-800x800-1.png,1
gb-refrigerador-no-frost-side-by-side-inverter-renxsbs22515i-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/RENXSBS22515I-perspectiva-800x800-1.png,2
