Fecha y hora (UTC),Origen,Cotizacion usada,Detalle
2026-07-28 22:22:39,API,41.4,dolarapi.com respondio correctamente
2026-07-29 12:49:07,API,41.4,dolarapi.com respondio correctamente
2026-07-29 16:42:15,API,41.35,dolarapi.com respondio correctamente
2026-07-30 17:07:53,API,41.3,dolarapi.com respondio correctamente
2026-07-31 17:12:05,API,41.35,dolarapi.com respondio correctamente
2026-08-01 15:40:42,API,41.5,dolarapi.com respondio correctamente
2026-08-02 15:43:06,API,41.5,dolarapi.com respondio correctamente
2026-08-03 18:22:43,API,41.25,dolarapi.com respondio correctamente
2026-08-04 18:11:13,API,41.35,dolarapi.com respondio correctamente
2026-08-05 17:09:42,API,41.3,dolarapi.com respondio correctamente
2026-08-07 14:42:35,API,41.5,dolarapi.com respondio correctamente
2026-08-08 12:03:11,API,41.5,dolarapi.com respondio correctamente
2026-08-09 12:04:25,API,41.5,dolarapi.com respondio correctamente
2026-08-10 12:33:09,API,41.5,dolarapi.com respondio correctamente
2026-08-11 12:29:19,API,41.45,dolarapi.com respondio correctamente
2026-08-12 12:32:48,API,41.5,dolarapi.com respondio correctamente
2026-08-13 12:33:48,API,41.55,dolarapi.com respondio correctamente
2026-08-14 12:29:15,API,41.55,dolarapi.com respondio correctamente
2026-08-15 11:57:32,API,41.6,dolarapi.com respondio correctamente
2026-08-16 11:57:56,API,41.6,dolarapi.com respondio correctamente
2026-08-17 12:00:59,API,41.6,dolarapi.com respondio correctamente
2026-08-18 12:01:42,API,41.45,dolarapi.com respondio correctamente
2026-08-19 12:01:09,API,41.5,dolarapi.com respondio correctamente
