Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position,Status,Command
il-pubeb,"Colgante led extensible motorizado 70w 10 luces cristal ámbar a control remoto, Bronce","<ul><li>Diseño escultural con gran presencia visual:</li><li>sus diez esferas de cristal ámbar de diferentes diámetros generan una composición elegante y equilibrada, convirtiéndose en el centro de atención sobre mesas, islas de cocina o espacios amplios.</li><li>I</li><li>luminación adaptable a cada momento:</li><li>permite ajustar la temperatura de color desde una luz cálida y acogedora hasta una luz más clara y funcional, creando el ambiente ideal según la ocasión.</li><li>Control total desde el mando incluido:</li><li>regulá fácilmente la intensidad lumínica y las distintas funciones sin necesidad de acercarte a la luminaria, logrando máxima comodidad de uso.</li><li>Sistema extensible motorizado:</li><li>incorpora una innovadora tecnología que permite ampliar o reducir eléctricamente su longitud para adaptarse a diferentes tamaños de mesa o configuraciones del espacio.</li><li>Altura regulable para una integración perfecta:</li><li>podés ajustar manualmente la caída de la luminaria según las características del ambiente y el efecto visual deseado.</li><li>Memoria inteligente de configuración:</li><li>recuerda automáticamente la última combinación de intensidad y temperatura de luz utilizada, evitando configuraciones repetitivas.</li><li>Reproducción de color excepcional:</li><li>su índice de reproducción cromática superior a 90 permite apreciar colores más naturales, vivos y fieles a la realidad.</li><li>Luz potente y uniforme:</li><li>ofrece una elevada capacidad lumínica para iluminar cómodamente superficies amplias manteniendo confort visual y eficiencia energética.</li><li>Materiales premium y terminaciones refinadas:</li><li>la combinación de estructura metálica en acabado bronce y cristal ámbar aporta una estética elegante y contemporánea de inspiración europea.</li><li>Ideal para proyectos de alto nivel:</li><li>perfecta para comedores, livings, salas de reunión o espacios donde la iluminación cumple una función tanto decorativa como funcional.</li><li>• Colgante LED extensible motorizado con 10 esferas de cristal ámbar</li><li>• Marca: Neuhaus Pure</li><li>• Modelo: PU BEB</li><li>• Potencia/consumo: 70 Watts</li><li>• Flujo luminoso: 7000 lm</li><li>• Temperatura de luz: 2200K a 5000K regulable</li><li>• Color de luz: cálida a fría</li><li>• Dimerizable: Sí</li><li>• Control remoto: Sí</li><li>• Función memoria: Sí</li><li>• Función favorita: Sí</li><li>• Sistema extensible:  Motorizado</li><li>• Altura regulable: Sí</li><li>• Índice de reproducción cromática: CRI ≥ 90</li><li>• Materiales: Metal y cristal ámbar</li><li>• Color: Bronce y cristal ámbar</li><li>• Protección: IP 20</li><li>• Dimensiones: Largo regulable de 100cm hasta 198 cm - Ancho 35 cm - Altura máxima 180 cm</li><li>• Alimentación: 220V</li><li>• Tecnología: LED integrado</li><li>• Ideal para: Comedores, islas de cocina, livings, salas de reuniones y espacios de diseño</li><li>• Garantía: 5 años</li><li>• Origen: Alemania.</li></ul>",Neuhaus pure,Iluminación,"Colgantes, Neuhaus pure, stock-verificado",TRUE,Color,"Colgante led extensible motorizado 70w 10 luces cristal ámbar a control remoto, Bronce",PU BEB::U,5550.0,,10,deny,https://f.fcdn.app/imgs/d710d9/tienda.iluminica.com/ilumuy/7375/original/catalogo/PUBEB_PUBEB_1/1024-1024/colgante-led-extensible-motorizado-70w-10-luces-cristal-ambar-a-control-remoto-bronce-colgante-led-extensible-motorizado-70w-10-luces-cristal-ambar-a-control-remoto-bronce.jpg,1,,
il-pubeb,,,,,,,,,,,,,,https://f.fcdn.app/imgs/4dad45/tienda.iluminica.com/ilumuy/3766/original/catalogo/PUBEB_PUBEB_2/1024-1024/colgante-led-extensible-motorizado-70w-10-luces-cristal-ambar-a-control-remoto-bronce-colgante-led-extensible-motorizado-70w-10-luces-cristal-ambar-a-control-remoto-bronce.jpg,2,,
il-pubeb,,,,,,,,,,,,,,https://f.fcdn.app/imgs/ff6668/tienda.iluminica.com/ilumuy/5fcb/original/catalogo/PUBEB_PUBEB_3/1024-1024/colgante-led-extensible-motorizado-70w-10-luces-cristal-ambar-a-control-remoto-bronce-colgante-led-extensible-motorizado-70w-10-luces-cristal-ambar-a-control-remoto-bronce.jpg,3,,
il-pubeb,,,,,,,,,,,,,,https://f.fcdn.app/imgs/9325cb/tienda.iluminica.com/ilumuy/32cc/original/catalogo/PUBEB_PUBEB_4/1024-1024/colgante-led-extensible-motorizado-70w-10-luces-cristal-ambar-a-control-remoto-bronce-colgante-led-extensible-motorizado-70w-10-luces-cristal-ambar-a-control-remoto-bronce.jpg,4,,
il-pubeb,,,,,,,,,,,,,,https://f.fcdn.app/imgs/f58162/tienda.iluminica.com/ilumuy/5afd/original/catalogo/PUBEB_PUBEB_5/1024-1024/colgante-led-extensible-motorizado-70w-10-luces-cristal-ambar-a-control-remoto-bronce-colgante-led-extensible-motorizado-70w-10-luces-cristal-ambar-a-control-remoto-bronce.jpg,5,,
il-pucam,"Colgante led orientable 9w 14cm regulable a control remoto, Marrón metalizado oscuro","<ul><li>Dirección de luz ajustable:</li><li>su cabezal orientable permite dirigir la iluminación según las necesidades del espacio, logrando mayor flexibilidad y confort visual.</li><li>Altura regulable con sistema Comfort Lift:</li><li>podés modificar fácilmente la altura de la luminaria de forma manual para adaptarla a distintas mesas, barras o ambientes.</li><li>Control total de la iluminación:</li><li>permite ajustar tanto la intensidad como la temperatura de color para crear desde ambientes cálidos y relajados hasta espacios más luminosos y funcionales.</li><li>Control remoto incluido:</li><li>accedé cómodamente a todas las funciones de la luminaria sin necesidad de acercarte a ella.</li><li>Memoria inteligente de configuración:</li><li>recuerda automáticamente los últimos ajustes seleccionados para ofrecer una experiencia más práctica en el uso diario.</li><li>Iluminación equilibrada y confortable:</li><li>proyecta aproximadamente un 70% de la luz hacia abajo y un 30% hacia arriba, generando una atmósfera agradable y bien distribuida.</li><li>Diseño minimalista y contemporáneo:</li><li>su estética en marrón metalizado oscuro aporta elegancia y personalidad, integrándose fácilmente en espacios modernos y sofisticados.</li><li>Calidad y tecnología alemana:</li><li>combina materiales de calidad, innovación y eficiencia para ofrecer una solución de iluminación duradera y funcional.</li><li>Uso interior protegido:</li><li>cuenta con protección IP 20, adecuada para ambientes interiores.</li><li>• Colgante LED inteligente orientable regulable</li><li>• Marca: Paul Neuhaus</li><li>• Modelo: PU CAM</li><li>• Potencia/consumo: 9 Watts</li><li>• Flujo luminoso: 850 lm</li><li>• Temperatura de luz: 2700K a 5000K regulable</li><li>• Color de luz: cálida a fría</li><li>• Dimerizable: Sí</li><li>• Control remoto: Sí</li><li>• Función memoria: Sí</li><li>• Regulación de altura: Sistema Comfort Lift</li><li>• Dirección de luz: Orientable</li><li>• Protección: IP 20</li><li>• Diámetro: 14 cm</li><li>• Altura máxima: 190 cm</li><li>• Color: Marrón metalizado oscuro</li><li>• Alimentación: 220V</li><li>• Tecnología: LED integrado</li><li>• Ideal para: Mesas auxiliares, barras, escritorios, rincones de lectura, dormitorios y espacios modernos</li><li>• Garantía: 5 años</li><li>• Origen: Alemania.</li></ul>",Neuhaus pure,Iluminación,"Colgantes, Neuhaus pure, stock-verificado",TRUE,Color,"Colgante led orientable 9w 14cm regulable a control remoto, Marrón metalizado oscuro",PU CAM::U,514.58,,10,deny,https://f.fcdn.app/imgs/b2eb37/tienda.iluminica.com/ilumuy/45fa/original/catalogo/PUCAM_PUCAM_1/1024-1024/colgante-led-orientable-9w-14cm-regulable-a-control-remoto-marron-metalizado-oscuro-colgante-led-orientable-9w-14cm-regulable-a-control-remoto-marron-metalizado-oscuro.jpg,1,,
il-pucam,,,,,,,,,,,,,,https://f.fcdn.app/imgs/c4b56b/tienda.iluminica.com/ilumuy/6812/original/catalogo/PUCAM_PUCAM_2/1024-1024/colgante-led-orientable-9w-14cm-regulable-a-control-remoto-marron-metalizado-oscuro-colgante-led-orientable-9w-14cm-regulable-a-control-remoto-marron-metalizado-oscuro.jpg,2,,
il-pucam,,,,,,,,,,,,,,https://f.fcdn.app/imgs/d4f0dd/tienda.iluminica.com/ilumuy/ce97/original/catalogo/PUCAM_PUCAM_3/1024-1024/colgante-led-orientable-9w-14cm-regulable-a-control-remoto-marron-metalizado-oscuro-colgante-led-orientable-9w-14cm-regulable-a-control-remoto-marron-metalizado-oscuro.jpg,3,,
il-pucam,,,,,,,,,,,,,,https://f.fcdn.app/imgs/923a8b/tienda.iluminica.com/ilumuy/a126/original/catalogo/PUCAM_PUCAM_4/1024-1024/colgante-led-orientable-9w-14cm-regulable-a-control-remoto-marron-metalizado-oscuro-colgante-led-orientable-9w-14cm-regulable-a-control-remoto-marron-metalizado-oscuro.jpg,4,,
il-pucam,,,,,,,,,,,,,,https://f.fcdn.app/imgs/8121e3/tienda.iluminica.com/ilumuy/42fd/original/catalogo/PUCAM_PUCAM_5/1024-1024/colgante-led-orientable-9w-14cm-regulable-a-control-remoto-marron-metalizado-oscuro-colgante-led-orientable-9w-14cm-regulable-a-control-remoto-marron-metalizado-oscuro.jpg,5,,
