Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position,Status,Command
jm-xi-led554kwos,"tv led smart 55"" 4K WebOs","<ul><li>Sistema operativo: Android 12 / webOs</li><li>Marco SLIM</li><li>WIFI</li><li>Memoria 1.5GB RAM, 8GB ROM</li><li>Sintonizador digital ISDB</li><li>3 HDMI</li><li>2 Puertos USB Movie</li><li>Conexión VGA</li><li>Audio IN</li><li>Medidas 134.5 x 81 cm</li><li>Garantía 1 Año</li></ul>",Xion,Electro,"TV, Xion, stock-verificado",TRUE,Color,COLOR UNICO,XI-LED554KWOS-CU-U,459.00,,10,deny,https://f.fcdn.app/imgs/411451/joacamar.com.uy/joacuy/f60d/original/catalogo/XI-LED554KWOS_CU_1/1024-1024/tv-led-smart-55-4k-webos-color-unico.jpg,1,,
jm-xi-led554kwos,,,,,,,,,,,,,,https://f.fcdn.app/imgs/f6f938/joacamar.com.uy/joacuy/79c4/original/catalogo/XI-LED554KWOS_CU_2/1024-1024/tv-led-smart-55-4k-webos-color-unico.jpg,2,,
jm-xi-led554kwos,,,,,,,,,,,,,,https://f.fcdn.app/imgs/362d76/joacamar.com.uy/joacuy/8206/original/catalogo/XI-LED554KWOS_CU_3/1024-1024/tv-led-smart-55-4k-webos-color-unico.jpg,3,,
jm-xi-led754kwos,"tv led smart 75"" 4k WebOs","<ul><li>Sistema operativo WebOs</li><li>WIFI</li><li>Memoria 1GB RAM, 8GB ROM</li><li>Sintonizador digital ISDBT</li><li>3 HDMI</li><li>2 Puertos USB Movie</li><li>Conexión VGA</li><li>Audio IN</li><li>Magic remote</li><li>Medidas 168 X 98 cm</li><li>Peso 23.700 KG.</li></ul>",Xion,Electro,"TV, Xion, stock-verificado",TRUE,Color,COLOR UNICO,XI-LED754KWOS-CU-U,824.00,1099.00,10,deny,https://f.fcdn.app/imgs/f3af44/joacamar.com.uy/joacuy/70df/original/catalogo/XI-LED754KWOS_CU_1/1024-1024/tv-led-smart-75-4k-webos-color-unico.jpg,1,,
jm-xi-led754kwos,,,,,,,,,,,,,,https://f.fcdn.app/imgs/874263/joacamar.com.uy/joacuy/79c4/original/catalogo/XI-LED754KWOS_CU_2/1024-1024/tv-led-smart-75-4k-webos-color-unico.jpg,2,,
jm-xi-led754kwos,,,,,,,,,,,,,,https://f.fcdn.app/imgs/b486b6/joacamar.com.uy/joacuy/40ca/original/catalogo/XI-LED754KWOS_CU_3/1024-1024/tv-led-smart-75-4k-webos-color-unico.jpg,3,,
jm-x-watch66,smartwatch xion watch66,"<ul><li>SMARTWATCH</li><li>1,83 pulgadas TFT 240*286 píxeles</li><li>Duración de batería en reposo 15 días aproximados</li><li>Duración de la barería en uso de 3 a 6 días</li><li>Llamada (a través de bluetooth y conexión de teléfono móvil)</li><li>Funciones, Agenda, marcación distancias, calorías.</li><li>Visualización de pasos, calorías y distancia</li><li>Deportes(correr, saltar, abdominales…)</li><li>Control de música (necesita conectar el teléfono móvil y encender el reproductor de música)</li><li>Monitoreo del sueño: reigstre el tiempo de sueño de anoche</li><li>Notificación de llamada, notificación de mensaje</li><li>Buscador de teléfono</li><li>Cámara remota</li><li>IP 51</li></ul>",Xion,Electro,"Tecnología, Xion, stock-verificado",TRUE,Color,GRY,X-WATCH66-GRY-U,24.00,,10,deny,https://f.fcdn.app/imgs/4d9e8f/joacamar.com.uy/joacuy/a792/original/catalogo/X-WATCH66_GRY_1/1024-1024/smartwatch-xion-watch66-gry.jpg,1,,
jm-x-watch66,,,,,,,,,,,,,,https://f.fcdn.app/imgs/eb8f3f/joacamar.com.uy/joacuy/95ce/original/catalogo/X-WATCH66_GRY_2/1024-1024/smartwatch-xion-watch66-gry.jpg,2,,
jm-open-xi-soas918,soporte de PVC para aire acondicionado,<ul><li>Soporte de PVC reforzado</li><li>Antioxidante y resistente</li><li>Aires acondicionados de 9.000 a 18.000 BTU</li></ul>,Xion,Electro,"Climatización, Xion, stock-verificado",TRUE,Color,COLOR UNICO,OPEN-XI-SOAS918-CU-U,13.00,,10,deny,https://f.fcdn.app/imgs/e9c8e2/joacamar.com.uy/joacuy/0899/original/catalogo/OPEN-XI-SOAS918_CU_1/1024-1024/soporte-de-pvc-para-aire-acondicionado-color-unico.jpg,1,,
jm-d2pro,"MONOPATÍN 10"" D2PRO","<ul><li>Ruedas de 10""</li><li>Neumático urbano sin cámara</li><li>Sistema de frenos de disco delantero y trasero</li><li>Batería de litio de 48 V/10 Ah</li><li>Autonomía 35-80 km</li><li>Velocidad máxima 45 km/h (personalizable)</li><li>Capacidad de peso: 150 kg</li><li>Faro LED delantero y luz de freno trasera</li><li>Cuatro tipos de velocidades (walk, ECO, sport, race)</li><li>Control crucero</li><li>Suspensión delantera y trasera</li><li>APP TUYA vía bluetooth: bloqueo, última ubicación; velocidad; encendido de luces; control de km; detección de fallos</li></ul>",MAXWHEEL,Accesorios,"Movilidad, MAXWHEEL, stock-verificado",TRUE,Color,COLOR UNICO,D2PRO-CU-U,899.00,,10,deny,https://f.fcdn.app/imgs/3a29dc/joacamar.com.uy/joacuy/25cc/original/catalogo/D2PRO_CU_1/1024-1024/monopatin-10-d2pro-color-unico.jpg,1,,
jm-d2pro,,,,,,,,,,,,,,https://f.fcdn.app/imgs/b6025d/joacamar.com.uy/joacuy/1eec/original/catalogo/D2PRO_CU_2/1024-1024/monopatin-10-d2pro-color-unico.jpg,2,,
jm-d2pro,,,,,,,,,,,,,,https://f.fcdn.app/imgs/0978bd/joacamar.com.uy/joacuy/a8e4/original/catalogo/D2PRO_CU_3/1024-1024/monopatin-10-d2pro-color-unico.jpg,3,,
jm-d2pro,,,,,,,,,,,,,,https://f.fcdn.app/imgs/0ba24c/joacamar.com.uy/joacuy/eae0/original/catalogo/D2PRO_CU_4/1024-1024/monopatin-10-d2pro-color-unico.jpg,4,,
jm-d2pro,,,,,,,,,,,,,,https://f.fcdn.app/imgs/c7e965/joacamar.com.uy/joacuy/4433/original/catalogo/D2PRO_CU_5/1024-1024/monopatin-10-d2pro-color-unico.jpg,5,,
jm-xi-aas12inv-2,aire acondicionado inverter 12000 btu,"<ul><li>AIRE ACONDICIONADO INVERTER 12000 BTU</li><li>Frío/Calor</li><li>Control remoto</li><li>Voltaje 220-240V</li><li>Frecuencia 50 Hz</li><li>Gas refrigerante: R410A.</li><li>Eficiencia energética A</li><li>MEDIDAS</li><li>Unidad interior 80x26x19 - largo/alto/prof</li><li>Unidad exterior 66x52,5x26 - largo/alto/prof</li></ul>",Xion,Electro,"Climatización, Xion, stock-verificado",TRUE,Color,COLOR UNICO,XI-AAS12INV-2-CU-U,329.00,,10,deny,https://f.fcdn.app/imgs/e05749/joacamar.com.uy/joacuy/ad88/original/catalogo/XI-AAS12INV-2_CU_1/1024-1024/aire-acondicionado-inverter-12000-btu-color-unico.jpg,1,,
jm-xi-aas12inv-2,,,,,,,,,,,,,,https://f.fcdn.app/imgs/2ac5ca/joacamar.com.uy/joacuy/fe2c/original/catalogo/XI-AAS12INV-2_CU_2/1024-1024/aire-acondicionado-inverter-12000-btu-color-unico.jpg,2,,
jm-xi-aas12inv-2,,,,,,,,,,,,,,https://f.fcdn.app/imgs/4aeaf6/joacamar.com.uy/joacuy/11ba/original/catalogo/XI-AAS12INV-2_CU_3/1024-1024/aire-acondicionado-inverter-12000-btu-color-unico.jpg,3,,
jm-xi-sh-sport,afeitadora 3 cuchillas modelo sport,"<ul><li>3 Cuchillas para un mejor afeitado</li><li>Cabezales flotantes con aros doble hoja.</li><li>Tecnología “CLOSE CUT” para una afeitada mas al ras</li><li>Hojas inox, corta patillas desplegable.</li><li>Tiempo de carga 8 horas</li><li>Autonomía hasta 60min.</li><li>220 – 50/60Hz</li><li>1 Año de Grantía</li></ul>",Xion,Electro,"Cuidado Personal, Xion, stock-verificado",TRUE,Color,COLOR UNICO,XI-SH-SPORT-CU-U,39.00,,10,deny,https://f.fcdn.app/imgs/8a6383/joacamar.com.uy/joacuy/95f0/original/catalogo/XI-SH-SPORT_CU_1/1024-1024/afeitadora-3-cuchillas-modelo-sport-color-unico.jpg,1,,
jm-xi-sh-sport,,,,,,,,,,,,,,https://f.fcdn.app/imgs/75cb8d/joacamar.com.uy/joacuy/79eb/original/catalogo/XI-SH-SPORT_CU_2/1024-1024/afeitadora-3-cuchillas-modelo-sport-color-unico.jpg,2,,
jm-xi-sh-sport,,,,,,,,,,,,,,https://f.fcdn.app/imgs/70fc26/joacamar.com.uy/joacuy/a809/original/catalogo/XI-SH-SPORT_CU_3/1024-1024/afeitadora-3-cuchillas-modelo-sport-color-unico.jpg,3,,
jm-xi-led85w,"TV led smart 85"" 4k whale","<ul><li>Sistema operativo Whale TV</li><li>WIFI</li><li>Memoria 1,5GB RAM, 8GB ROM</li><li>Sintonizador digital ISDBT</li><li>Bluetooth</li><li>3 HDMI</li><li>2 Puertos USB Movie</li><li>Conexión VGA</li><li>Audio IN</li></ul>",Xion,Electro,"TV, Xion, stock-verificado",TRUE,Color,COLOR UNICO,XI-LED85W-CU-U,1259.00,,10,deny,https://f.fcdn.app/imgs/5843e1/joacamar.com.uy/joacuy/7143/original/catalogo/XI-LED85W_CU_1/1024-1024/tv-led-smart-85-4k-whale-color-unico.jpg,1,,
jm-xi-led85w,,,,,,,,,,,,,,https://f.fcdn.app/imgs/1a5e52/joacamar.com.uy/joacuy/a4f9/original/catalogo/XI-LED85W_CU_2/1024-1024/tv-led-smart-85-4k-whale-color-unico.jpg,2,,
jm-xi-led85w,,,,,,,,,,,,,,https://f.fcdn.app/imgs/7d5557/joacamar.com.uy/joacuy/a4f9/original/catalogo/XI-LED85W_CU_3/1024-1024/tv-led-smart-85-4k-whale-color-unico.jpg,3,,
jm-xi-led100w,"TV led smart 100"" 4k whale","<ul><li>TELEVISOR LED SMART 100"" 4K WHALE</li><li>Sistema operativo Whale TV</li><li>WIFI</li><li>Memoria 1.5 GB RAM, 8GB ROM</li><li>Sintonizador digital ISDBT</li><li>3 HDMI</li><li>2 USB Movie</li><li>Audio IN</li><li>Medidas: 224 x 127 cm</li></ul>",Xion,Electro,"TV, Xion, stock-verificado",TRUE,Color,COLOR UNICO,XI-LED100W-CU-U,2829.00,,10,deny,https://f.fcdn.app/imgs/aaf143/joacamar.com.uy/joacuy/cc07/original/catalogo/XI-LED100W_CU_1/1024-1024/tv-led-smart-100-4k-whale-color-unico.jpg,1,,
jm-xi-led100w,,,,,,,,,,,,,,https://f.fcdn.app/imgs/f07da4/joacamar.com.uy/joacuy/a1e7/original/catalogo/XI-LED100W_CU_2/1024-1024/tv-led-smart-100-4k-whale-color-unico.jpg,2,,
jm-xi-hairone4x1,afeitadora rasuradora corporal one blade 4 en 1,"<ul><li>3 cabezales intercambiables: recortadora de barba, corporal, trimmer y afeitadora.</li><li>Waterproof IPX7</li><li>Funcionamiento inalámbrico</li><li>Hoja de acero inoxidable</li><li>Motor de alta performance y duración 5 peines de corte: 5 mm, 3 mm, 2 mm, 1 mm y 0</li><li>Voltaje: 3.7 V</li><li>Batería de lithium 600 mAh</li><li>Tiempo de carga: 2 h.</li></ul>",Xion,Electro,"Cuidado Personal, Xion, stock-verificado",TRUE,Color,COLOR UNICO,XI-HAIRONE4X1-CU-U,39.00,,10,deny,https://f.fcdn.app/imgs/240bf4/joacamar.com.uy/joacuy/c2e5/original/catalogo/XI-HAIRONE4X1_CU_1/1024-1024/afeitadora-rasuradora-corporal-one-blade-4-en-1-color-unico.jpg,1,,
