Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position
md-fs40-11da,Ventilador de pie Midea FS40-11DA,"<ul><li>• 3 velocidades</li><li>• 3 aspas</li><li>• Oscilación</li><li>• Motor de cobre</li><li>• Altura ajustable</li><li>• Potencia: 50W</li><li>Tensión nominal: 220V~</li><li>Peso: 6 Kg</li><li>Dimensión del producto (AlxAnxPr): 135 x 45,2 x 43 cm</li></ul>",Midea,Electro,"Climatización, Midea",TRUE,Color,Ventilador de pie Midea FS40-11DA,FS40-11DA,79.00,,0,deny,https://f.fcdn.app/imgs/9307c7/www.tiendamidea.com.uy/estuy/f88c/original/catalogo/FS40-11DA_FS40-11DA_1/1024-1024/ventilador-de-pie-midea-fs40-11da-ventilador-de-pie-midea-fs40-11da.jpg,1
md-fs40-11da,,,,,,,,,,,,,,https://f.fcdn.app/imgs/7c7f00/www.tiendamidea.com.uy/estuy/f724/original/catalogo/FS40-11DA_FS40-11DA_2/1024-1024/ventilador-de-pie-midea-fs40-11da-ventilador-de-pie-midea-fs40-11da.jpg,2
md-fs40-11da,,,,,,,,,,,,,,https://f.fcdn.app/imgs/195a64/www.tiendamidea.com.uy/estuy/55ca/original/catalogo/FS40-11DA_FS40-11DA_3/1024-1024/ventilador-de-pie-midea-fs40-11da-ventilador-de-pie-midea-fs40-11da.jpg,3
md-fs40-11da,,,,,,,,,,,,,,https://f.fcdn.app/imgs/8c618c/www.tiendamidea.com.uy/estuy/0340/original/catalogo/FS40-11DA_FS40-11DA_4/1024-1024/ventilador-de-pie-midea-fs40-11da-ventilador-de-pie-midea-fs40-11da.jpg,4
md-fs40-16jra,Ventilador de pie Midea FS40-16JRA,"<ul><li>• 3 velocidades</li><li>• 3 aspas</li><li>• Temporizador de 4 horas</li><li>• Oscilación</li><li>• Motor de cobre</li><li>• Altura ajustable</li><li>• Potencia: 40W</li><li>Tensión nominal: 220-240V~</li><li>Peso: 6 Kg</li><li>Dimensión del producto (AlxAnxPr): 130 x 43,5 x 43,5 cm</li></ul>",Midea,Electro,"Climatización, Midea",TRUE,Color,Ventilador de pie Midea FS40-16JRA,FS40-16JRA,85.00,,0,deny,https://f.fcdn.app/imgs/6fc410/www.tiendamidea.com.uy/estuy/41bf/original/catalogo/FS40-16JRA_FS40-16JRA_1/1024-1024/ventilador-de-pie-midea-fs40-16jra-ventilador-de-pie-midea-fs40-16jra.jpg,1
md-fs40-16jra,,,,,,,,,,,,,,https://f.fcdn.app/imgs/635fe8/www.tiendamidea.com.uy/estuy/3b0c/original/catalogo/FS40-16JRA_FS40-16JRA_2/1024-1024/ventilador-de-pie-midea-fs40-16jra-ventilador-de-pie-midea-fs40-16jra.jpg,2
md-fs40-16jra,,,,,,,,,,,,,,https://f.fcdn.app/imgs/65d6ad/www.tiendamidea.com.uy/estuy/0e53/original/catalogo/FS40-16JRA_FS40-16JRA_3/1024-1024/ventilador-de-pie-midea-fs40-16jra-ventilador-de-pie-midea-fs40-16jra.jpg,3
md-fs50-3d,Ventilador de pie Midea FS50-3D,"<ul><li>• 3 velocidades</li><li>• 5 aspas</li><li>• Oscilación</li><li>• Motor de cobre</li><li>• Altura ajustable</li><li>• Potencia: 65W</li><li>Tensión nominal: 220-240V~</li><li>Peso: 5 Kg</li><li>Dimensión del producto (AlxAnxPr): 147 x 72,8 x 57,2 cm</li></ul>",Midea,Electro,"Climatización, Midea, stock-verificado",TRUE,Color,Ventilador de pie Midea FS50-3D,FS50-3D,99.00,,10,deny,https://f.fcdn.app/imgs/3090e4/www.tiendamidea.com.uy/estuy/4895/original/catalogo/FS50-3D_FS50-3D_1/1024-1024/ventilador-de-pie-midea-fs50-3d-ventilador-de-pie-midea-fs50-3d.jpg,1
md-fs50-3d,,,,,,,,,,,,,,https://f.fcdn.app/imgs/d46b1e/www.tiendamidea.com.uy/estuy/7e1e/original/catalogo/FS50-3D_FS50-3D_2/1024-1024/ventilador-de-pie-midea-fs50-3d-ventilador-de-pie-midea-fs50-3d.jpg,2
md-fs50-3d,,,,,,,,,,,,,,https://f.fcdn.app/imgs/d0b33b/www.tiendamidea.com.uy/estuy/94bb/original/catalogo/FS50-3D_FS50-3D_3/1024-1024/ventilador-de-pie-midea-fs50-3d-ventilador-de-pie-midea-fs50-3d.jpg,3
