Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position,Status,Command
ui-2-baterias-20v-1-cargador-ingco-fbcpk2212,2 BATERIAS 20V + 1 CARGADOR INGCO FBCPK2212,"<p>SET X2 BATERIAS 20V 2.0AH + 1 CARGADOR<br />
-Voltaje: 20 V.<br />
-Con 2 baterías de iones de litio (FBLI20011).<br />
-Con 1 cargador (FCLI2001).<br />
-Batería de iones de litio (FBLI20011):<br />
-Batería de iones de litio de 2,0 Ah.<br />
-Indicador LED de carga de la batería.<br />
-Una batería válida para todas las herramientas múltiples P20S.<br />
-Cargador rápido inteligente (FCLI2001):<br />
-Voltaje de entrada: 220-240 V ~ 50/60 Hz.<br />
-Voltaje de salida: 20 V.<br />
-Corriente de salida: 2 A</p>",Uruimporta,Herramientas,"Herramientas Batería, Uruimporta, stock-verificado",TRUE,Título,Default Title,10280,2640.00,,10,deny,https://uruimporta.com.uy/wp-content/uploads/2026/01/10280.1.jpg,1,,
ui-2-baterias-20v-1-cargador-ingco-fbcpk2212,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/10280.2.jpg,2,,
ui-3-en-1-dry-lube-cerraduras-y-candados-9088,3 EN 1 DRY LUBE (CERRADURAS Y CANDADOS) 9088,,Uruimporta,Accesorios,"Lubricantes, Uruimporta",TRUE,Título,Default Title,10462,500.00,,0,deny,https://uruimporta.com.uy/wp-content/uploads/2026/01/10462.1.jpg,1,,
ui-3-en-1-dry-lube-cerraduras-y-candados-9088,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/10462.2.jpg,2,,
ui-3-en-1-dry-lube-cerraduras-y-candados-9088,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/10462.3.jpg,3,,
ui-abrazadera-10-pz-metalicas-en-blisters-lh-496,ABRAZADERA 10 PZ METALICAS EN BLISTERS LH-496,"<p>Descripción: Abrazaderas<br />
Modelo: LH-496<br />
Material: Metálico<br />
Color: Plateado<br />
Peso: 80g</p>
<p>Medidas<br />
*2 abrazaderas, diámetro mínimo 10mm, diámetro máximo 16mm<br />
*2 abrazaderas, diámetro mínimo 12mm, diámetro máximo 19mm<br />
*2 abrazaderas, diámetro mínimo 13mm, diámetro máximo 23mm<br />
*2 abrazaderas, diámetro mínimo 14mm, diámetro máximo 25mm<br />
*2 abrazaderas, diámetro mínimo 16mm, diámetro máximo 27mm</p>
<p>Las abrazaderas metálicas sirven para asegurar tuberías. Son de fácil colocación y aplicable de diversas formas. Cada una trae un tornillo donde se puede ajustar la medida.</p>
<p>Presentación: En blíster</p>",Uruimporta,Construcción,"Clavos – Tornillos, Uruimporta, stock-verificado",TRUE,Título,Default Title,288,67.00,,10,deny,https://uruimporta.com.uy/wp-content/uploads/2026/02/288-feat.jpg,1,,
ui-abrazadera-10-pz-metalicas-en-blisters-lh-496,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/288.2-2.jpg,2,,
ui-abrazadera-10-pz-metalicas-en-blisters-lh-496,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/288.3-2.jpg,3,,
ui-abrazadera-para-cano-de-termofu-16-ifan-lh-3022,ABRAZADERA CAÑO DE TERMOFUSION 16 IFAN LH-3022,"<p>Descripción: Abrazadera para caño<br />
Modelo: LH-3022<br />
Material: Plástico<br />
Color: Verde</p>
<p>Medidas<br />
Base: largo 2.2cm x ancho 1.4cm<br />
Altura: 2.8cm<br />
Diámetro para caño: 16mm</p>
<p>Incluye traba para evitar que el caño se salga y un orificio en el centro de la base para fijar a la pared<br />
Presentación: Viene suelta</p>",Uruimporta,Construcción,"Termofusión, PPL, PVC, Uruimporta, stock-verificado",TRUE,Título,Default Title,4300,7.00,,10,deny,https://uruimporta.com.uy/wp-content/uploads/2025/07/4300.jpg,1,,
ui-abrazadera-para-cano-de-termofu-16-ifan-lh-3022,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/4300.3.jpg,2,,
ui-abrazadera-para-cano-de-termofu-16-ifan-lh-3022,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/4300.4.jpg,3,,
ui-abrazadera-para-cano-de-termofu-16-ifan-lh-3022,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/4300.7.jpg,4,,
ui-abrazadera-para-cano-de-termofu-20-ifan-lh-1044,ABRAZADERA CAÑO DE TERMOFUSION 20 IFAN LH-1044,"<p>Descripción: Abrazadera para caño<br />
Modelo: LH-1044<br />
Material: Polipropileno<br />
Color: Verde</p>
<p>Medidas<br />
Base: largo 3.2cm, ancho 1.3cm<br />
Altura: 3.5cm<br />
Diámetro para caño: 20mm</p>
<p>Incluye traba para evitar que el caño se salga y un orifico en el centro de la base para fijar a la pared.<br />
Presentación: Viene suelta</p>",Uruimporta,Construcción,"Termofusión, PPL, PVC, Uruimporta, stock-verificado",TRUE,Título,Default Title,3089,7.00,,10,deny,https://uruimporta.com.uy/wp-content/uploads/2025/07/3089.jpg,1,,
ui-abrazadera-para-cano-de-termofu-20-ifan-lh-1044,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/3089.7.jpg,2,,
ui-abrazadera-para-cano-de-termofu-20-ifan-lh-1044,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/3089.3.jpg,3,,
ui-abrazadera-para-cano-de-termofu-20-ifan-lh-1044,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/3089.4.jpg,4,,
ui-abrazadera-metalica-1-1-2-con-goma-lh-2258,ABRAZADERA METALICA 1 1/2″ CON GOMA LH-2258,"<p>Descripción: Abrazadera metálica<br />
Modelo: LH-2258<br />
Material: Metal y goma<br />
Color: Plateado y negro<br />
Peso: 70g</p>
<p>Medidas<br />
Diámetro mínimo: 4cm (1. 1/2)<br />
Diámetro máximo: 5.8cm (2. 1/4)</p>
<p>Incluye<br />
*Un tornillo de 6cm para fijar a la pared u otra superficie<br />
*Un taco Fisher de 10mm<br />
*Dos tornillos a ambos lados de la abrazadera para ajustar</p>
<p>Presentación: En bolsa</p>",Uruimporta,Construcción,"Clavos – Tornillos, Uruimporta, stock-verificado",TRUE,Título,Default Title,3987,38.00,,10,deny,https://uruimporta.com.uy/wp-content/uploads/2026/01/3983-1.jpg,1,,
ui-abrazadera-metalica-1-1-2-con-goma-lh-2258,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/3985.3-4.jpg,2,,
ui-abrazadera-metalica-1-1-2-con-goma-lh-2258,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/3985.1-4.jpg,3,,
ui-abrazadera-metalica-1-1-2-con-goma-lh-2258,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/3985.4-4.jpg,4,,
ui-abrazadera-metalica-1-1-2-con-goma-lh-2258,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/3985-4.jpg,5,,
ui-abrazadera-metalica-1-1-4-con-goma-lh-2257,ABRAZADERA METALICA 1 1/4″ CON GOMA LH-2257,"<p>Descripción: Abrazadera metálica<br />
Modelo: LH-2257<br />
Material: Metal y goma<br />
Color: Plateado y negro<br />
Peso: 60g</p>
<p>Medidas<br />
Diámetro mínimo: 3.2cm (1. 1/4)<br />
Diámetro máximo: 4.5cm (1. 3/4)</p>
<p>Incluye<br />
*Un tornillo de 6cm para fijar a la pared u otra superficie<br />
*Un taco Fisher de 10mm<br />
*Dos tornillos a ambos lados de la abrazadera para ajustar</p>
<p>Presentación: En bolsa</p>",Uruimporta,Construcción,"Clavos – Tornillos, Uruimporta, stock-verificado",TRUE,Título,Default Title,3986,35.00,,10,deny,https://uruimporta.com.uy/wp-content/uploads/2026/01/3983-2.jpg,1,,
ui-abrazadera-metalica-1-1-4-con-goma-lh-2257,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/3985.3-3.jpg,2,,
ui-abrazadera-metalica-1-1-4-con-goma-lh-2257,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/3985.1-3.jpg,3,,
ui-abrazadera-metalica-1-1-4-con-goma-lh-2257,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/3985.4-3.jpg,4,,
ui-abrazadera-metalica-1-1-4-con-goma-lh-2257,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/3985-3.jpg,5,,
ui-abrazadera-metalica-1-con-goma-lh-2256,ABRAZADERA METALICA 1″ CON GOMA LH-2256,"<p>Descripción: Abrazadera metálica<br />
Modelo: LH-2256<br />
Material: Metal y goma<br />
Color: Plateado y negro<br />
Peso: 40g</p>
<p>Medidas<br />
Diámetro mínimo: 2.5cm (1)<br />
Diámetro máximo: 4cm (1. 1/2)</p>
<p>Incluye<br />
*Un tornillo de 6cm para fijar a la pared u otra superficie<br />
*Un taco Fisher de 10mm<br />
*Dos tornillos a ambos lados de la abrazadera para ajustar</p>
<p>Presentación: En bolsa</p>",Uruimporta,Construcción,"Clavos – Tornillos, Uruimporta, stock-verificado",TRUE,Título,Default Title,3985,31.00,,10,deny,https://uruimporta.com.uy/wp-content/uploads/2026/01/3983.jpg,1,,
ui-abrazadera-metalica-1-con-goma-lh-2256,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/3985.3-2.jpg,2,,
ui-abrazadera-metalica-1-con-goma-lh-2256,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/3985.1-2.jpg,3,,
ui-abrazadera-metalica-1-con-goma-lh-2256,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/3985.2-2.jpg,4,,
ui-abrazadera-metalica-1-con-goma-lh-2256,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/3985.4-2.jpg,5,,
ui-abrazadera-metalica-1-con-goma-lh-2256,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/3985-2.jpg,6,,
ui-abrazadera-metalica-1-2-con-goma-lh-2254,ABRAZADERA METALICA 1/2″ CON GOMA LH-2254,"<p>Descripción: Abrazadera metálica<br />
Modelo: LH-2254<br />
Material: Metal y goma<br />
Color: Plateado y negro<br />
Peso: 20g</p>
<p>Medidas<br />
Diámetro mínimo: 1/2&#8243; (1.3cm)<br />
Diámetro máximo: 2cm</p>
<p>Incluye<br />
*Un tornillo de 6.5cm para fijar a la pared u otra superficie<br />
*Un taco Fisher de 10mm<br />
*Dos tornillos a ambos lados de la abrazadera para ajustar</p>
<p>Presentación: En bolsa</p>",Uruimporta,Construcción,"Clavos – Tornillos, Uruimporta, stock-verificado",TRUE,Título,Default Title,3983,26.00,,10,deny,https://uruimporta.com.uy/wp-content/uploads/2026/01/3983.jpg,1,,
ui-abrazadera-metalica-1-2-con-goma-lh-2254,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/3985.3.jpg,2,,
ui-abrazadera-metalica-1-2-con-goma-lh-2254,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/3985.1-1.jpg,3,,
ui-abrazadera-metalica-1-2-con-goma-lh-2254,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/3985-1.jpg,4,,
ui-abrazadera-metalica-1-2-con-goma-lh-2254,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/3985.4-1.jpg,5,,
ui-abrazadera-metalica-2-1-2-con-goma-lh-2260,ABRAZADERA METALICA 2 1/2″ CON GOMA LH-2260,"<p>Descripción: Abrazadera metálica<br />
Modelo: LH-2260<br />
Material: Metal y goma<br />
Color: Plateado y negro<br />
Peso: 100g</p>
<p>Medidas<br />
Diámetro mínimo: 6.5cm (2. 1/2)<br />
Diámetro máximo: 7.5cm (3)</p>
<p>Incluye<br />
*Un tornillo de 6cm para fijar a la pared u otra superficie<br />
*Un taco Fisher de 10mm<br />
*Dos tornillos a ambos lados de la abrazadera para ajustar</p>
<p>Presentación: En bolsa</p>",Uruimporta,Construcción,"Clavos – Tornillos, Uruimporta, stock-verificado",TRUE,Título,Default Title,3989,49.00,,10,deny,https://uruimporta.com.uy/wp-content/uploads/2026/01/3983-3.jpg,1,,
ui-abrazadera-metalica-2-1-2-con-goma-lh-2260,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/3985.3-6.jpg,2,,
ui-abrazadera-metalica-2-1-2-con-goma-lh-2260,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/3985.1-6.jpg,3,,
ui-abrazadera-metalica-2-1-2-con-goma-lh-2260,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/3985-6.jpg,4,,
ui-abrazadera-metalica-2-1-2-con-goma-lh-2260,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/3985.4-6.jpg,5,,
ui-abrazadera-metalica-2-con-goma-lh-2259,ABRAZADERA METALICA 2″ CON GOMA LH-2259,"<p>Descripción: Abrazadera metálica<br />
Modelo: LH-2259<br />
Material: Metal y goma<br />
Color: Plateado y negro<br />
Peso: 40g</p>
<p>Medidas<br />
Diámetro mínimo: 2&#8243; (5cm)<br />
Diámetro máximo: 2. 1/2&#8243; (6.3cm)</p>
<p>Incluye<br />
*Un tornillo de 6.5cm para fijar a la pared u otra superficie<br />
*Un taco Fisher de 10mm<br />
*Dos tornillos a ambos lados de la abrazadera para ajustar</p>
<p>Presentación: En bolsa</p>",Uruimporta,Construcción,"Clavos – Tornillos, Uruimporta, stock-verificado",TRUE,Título,Default Title,3988,44.00,,10,deny,https://uruimporta.com.uy/wp-content/uploads/2026/01/3983-4.jpg,1,,
ui-abrazadera-metalica-2-con-goma-lh-2259,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/3985.3-5.jpg,2,,
ui-abrazadera-metalica-2-con-goma-lh-2259,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/3985.1-5.jpg,3,,
ui-abrazadera-metalica-2-con-goma-lh-2259,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/3985.4-5.jpg,4,,
ui-abrazadera-metalica-2-con-goma-lh-2259,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/3985-5.jpg,5,,
ui-abrazadera-metalica-3-con-goma-lh-2261,ABRAZADERA METALICA 3″ CON GOMA LH-2261,"<p>Descripción: Abrazadera metálica<br />
Modelo: LH-2261<br />
Material: Metal y goma<br />
Color: Plateado y negro<br />
Peso: 100g</p>
<p>Medidas<br />
Diámetro mínimo: 7.5cm (3)<br />
Diámetro máximo: 9cm (3. 1/2)</p>
<p>Incluye<br />
*Un tornillo de 6cm para fijar a la pared u otra superficie<br />
*Un taco Fisher de 10mm<br />
*Dos tornillos a ambos lados de la abrazadera para ajustar</p>
<p>Presentación: En bolsa</p>",Uruimporta,Construcción,"Clavos – Tornillos, Uruimporta, stock-verificado",TRUE,Título,Default Title,3990,55.00,,10,deny,https://uruimporta.com.uy/wp-content/uploads/2026/01/3983-5.jpg,1,,
ui-abrazadera-metalica-3-con-goma-lh-2261,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/3985.3-7.jpg,2,,
ui-abrazadera-metalica-3-con-goma-lh-2261,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2026/01/3985.1-7.jpg,3,,
ui-abrazadera-metalica-3-con-goma-lh-2261,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/3985.4-7.jpg,4,,
ui-abrazadera-metalica-3-con-goma-lh-2261,,,,,,,,,,,,,,https://uruimporta.com.uy/wp-content/uploads/2025/12/3985-7.jpg,5,,
