Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position,Status,Command
vh-aa-stratos-9-btu-dc-inverter,Aire Acondicionado Smart Stratos Inverter 9.000 BTU UVC,"<ul><li>Voltaje / Frecuencia: 220 ~ 240 / 50 V / Hz</li><li>Presión de diseño (succión) (MPa): 1,15 MPa</li><li>Presión de diseño (descarga) (MPa): 4,15 MPa</li><li>Capacidad de enfriamiento: 2.250 ~ 10.000 BTU/h</li><li>Capacidad de calentamiento: 2.250 ~ 10.500 BTU/h</li><li>Potencia nominal (enfriando): 812 W</li><li>Potencia nominal (calentando): 803 W</li><li>Ruido (interior / exterior): 40 / 50 dB (A)</li><li>Cantidad de refrigerante (R410A): 0,61 kg</li><li>Medidas Unidad Interior: Consultar</li><li>Medidas Unidad Exterior: Consultar</li><li>Peso (kg): -</li></ul>",Vivion Haus,Electro,"Climatización, Vivion Haus",TRUE,Título,Default Title,AA-STRATOS-9-BTU-DC-INVERTER,512.4,,10,deny,https://www.vivionhaus.com/uploads/cp_1e9a63ba1e22007491d1992bf27a37e2.png,1,,
vh-aa-stratos-9-btu-dc-inverter,,,,,,,,,,,,,,https://www.vivionhaus.com/uploads/cp_43a36b5658226ab87eaf146514743442.png,2,,
vh-aa-stratos-9-btu-dc-inverter,,,,,,,,,,,,,,https://www.vivionhaus.com/uploads/crop_2N0IEYALNCLY-AA_inverter_476x670.png,3,,
vh-aa-stratos-12-btu-dc-inverter,Aire Acondicionado Smart Stratos Inverter 12.000 BTU UVC,"<ul><li>Voltaje / Frecuencia: 220 ~ 240 / 50 V / Hz</li><li>Presión de diseño (succión) (MPa): 1,15 MPa</li><li>Presión de diseño (descarga) (MPa): 4,15 MPa</li><li>Capacidad de enfriamiento: 2.250 ~ 13.000 BTU/h</li><li>Capacidad de calentamiento: 2.250 ~ 13.500 BTU/h</li><li>Potencia nominal (enfriando): 1.090 W</li><li>Potencia nominal (calentando): 1.050 W</li><li>Ruido (interior / exterior): 42 / 52 dB(A)</li><li>Cantidad de refrigerante (R410A): 0,65 kg</li><li>Medidas Unidad Interior: Consultar</li><li>Medidas Unidad Exterior: Consultar</li><li>Peso (kg): 10 / 33 kg (unid. int. / unid. ext.)</li></ul>",Vivion Haus,Electro,"Climatización, Vivion Haus",TRUE,Título,Default Title,AA-STRATOS-12-BTU-DC-INVERTER,553.88,,10,deny,https://www.vivionhaus.com/uploads/cp_1e9a63ba1e22007491d1992bf27a37e2.png,1,,
vh-aa-stratos-12-btu-dc-inverter,,,,,,,,,,,,,,https://www.vivionhaus.com/uploads/cp_43a36b5658226ab87eaf146514743442.png,2,,
vh-aa-stratos-12-btu-dc-inverter,,,,,,,,,,,,,,https://www.vivionhaus.com/uploads/crop_5OJSDF20A7HA-AA_inverter_476x670.png,3,,
vh-aa-stratos-18-btu-dc-inverter,Aire Acondicionado Smart Stratos Inverter 18.000 BTU UVC,"<ul><li>Voltaje / Frecuencia: 220 ~ 240 / 50 V / Hz</li><li>Presión de diseño (succión) (MPa): 1,15 MPa</li><li>Presión de diseño (descarga) (MPa): 4,15 MPa</li><li>Capacidad de enfriamiento: 5.550 ~ 18.800 BTU/h</li><li>Capacidad de calentamiento: 5.550 ~ 19.800 BTU/h</li><li>Potencia nominal (enfriando): 2.318 W</li><li>Potencia nominal (calentando): 2.304 W</li><li>Ruido (interior / exterior): 44 / 53 dB(A)</li><li>Cantidad de refrigerante (R410A): 1,35 kg</li><li>Medidas Unidad Interior: Consultar</li><li>Medidas Unidad Exterior: Consultar</li></ul>",Vivion Haus,Electro,"Climatización, Vivion Haus",TRUE,Título,Default Title,AA-STRATOS-18-BTU-DC-INVERTER,813.74,,10,deny,https://www.vivionhaus.com/uploads/cp_1e9a63ba1e22007491d1992bf27a37e2.png,1,,
vh-aa-stratos-18-btu-dc-inverter,,,,,,,,,,,,,,https://www.vivionhaus.com/uploads/cp_43a36b5658226ab87eaf146514743442.png,2,,
vh-aa-stratos-18-btu-dc-inverter,,,,,,,,,,,,,,https://www.vivionhaus.com/uploads/crop_7DR3IB49QHVV-AA_inverter_476x670.png,3,,
vh-aa-stratos-24-btu-dc-inverter,Aire Acondicionado Smart Stratos Inverter 24.000 BTU UVC,"<ul><li>Voltaje / Frecuencia: 220 ~ 240 / 50 V / Hz</li><li>Presión de diseño (succión) (MPa): 1,15 MPa</li><li>Presión de diseño (descarga) (MPa): 4,15 MPa</li><li>Capacidad de enfriamiento: 3.800 ~ 28.000 BTU/h</li><li>Capacidad de calentamiento: 4.700 ~ 25.500 BTU/h</li><li>Potencia nominal (enfriando): 2.500 W</li><li>Potencia nominal (calentando): 2.400 W</li><li>Ruido (interior / exterior): 49 / 57 dB(A)</li><li>Cantidad de refrigerante (R410A): 1,3 kg</li><li>Medidas Unidad Interior: Consultar</li><li>Medidas Unidad Exterior: Consultar</li></ul>",Vivion Haus,Electro,"Climatización, Vivion Haus",TRUE,Título,Default Title,AA-STRATOS-24-BTU-DC-INVERTER,1102.88,,10,deny,https://www.vivionhaus.com/uploads/cp_1e9a63ba1e22007491d1992bf27a37e2.png,1,,
