Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position
vs-mini-tractor-f-g-8hp,MINI TRACTOR F&G 8HP,"<span style=""font-size:14px"">Cilindrada: 224cc</span><br/><span style=""font-size:14px"">Potencia: 8HP</span><br/><span style=""font-size:14px"">Arranque: Eléctrico</span><br/><span style=""font-size:14px"">Capacidad de combustible: 1.8L</span><br/><span style=""font-size:14px"">Ancho de corte: 600mm</span><br/><span style=""font-size:14px"">Material de chasis: Acero</span><br/><span style=""font-size:14px"">Capacidad de recolección: 150L</span><br/><span style=""font-size:14px"">Altura de corte: 35mm a 75mm</span><br/><span style=""font-size:14px"">Niveles de corte: 5 niveles</span><br/><span style=""font-size:14px"">Modos: Triturado/Descarga lateral</span><br/><span style=""font-size:14px"">Incluye bolsa de recolección</span><br/><span style=""font-size:14px"">Peso: 125Kg</span><br/><span style=""font-size:14px""> </span><br/><span style=""font-size:14px"">Garantía: 1 año </span><br/><span style=""font-size:14px""> </span><br/><span style=""font-size:14px"">Precios IVA incluido. Ciertas características, prestaciones de producto y/o precios pueden variar sin previo aviso. Fotos meramente ilustrativas.</span><br/>",FOREST GARDEN,Jardín,"Cortadoras de Césped, FOREST GARDEN, stock-verificado",TRUE,Título,Default Title,2183,3499.0,,10,deny,https://vstoreuy.vteximg.com.br/arquivos/ids/164445/MT8-60-1-.png?v=639159336318630000,1
vs-mini-tractor-f-g-8hp,,,,,,,,,,,,,,https://vstoreuy.vteximg.com.br/arquivos/ids/164446/MT8-60-2-.png?v=639159336318930000,2
vs-mini-tractor-f-g-8hp,,,,,,,,,,,,,,https://vstoreuy.vteximg.com.br/arquivos/ids/164447/MT8-60-3-.png?v=639159336319570000,3
vs-mini-tractor-f-g-8hp,,,,,,,,,,,,,,https://vstoreuy.vteximg.com.br/arquivos/ids/164448/MT8-60-4-.png?v=639159336320100000,4
vs-mini-tractor-f-g-8hp,,,,,,,,,,,,,,https://vstoreuy.vteximg.com.br/arquivos/ids/164449/MT8-60-5-.png?v=639159336320400000,5
vs-mini-tractor-f-g-8hp,,,,,,,,,,,,,,https://vstoreuy.vteximg.com.br/arquivos/ids/164450/TRA824-8.jpg?v=639159336320900000,6
vs-mini-tractor-f-g-8hp,,,,,,,,,,,,,,https://vstoreuy.vteximg.com.br/arquivos/ids/164451/TRA824-8.png?v=639159336321500000,7
vs-smart-tv-samsung-oled-77-4k-vision-ai,"SMART TV SAMSUNG OLED 77"" 4K VISION AI","<h2><strong style=""font-size:14px"">SAMSUNG OLED SMART TV 4K</strong></h2><br/><span style=""font-size:14px"">Imagen ultra realista con contraste profundo y colores vibrantes gracias a la tecnología OLED. Disfrutá una experiencia inmersiva con escenas más nítidas, fluidas y detalladas en todo tipo de contenido.</span><h3><br/><strong style=""font-size:14px"">CARACTERÍSTICAS DESTACADAS:</strong></h3><br/><span style=""font-size:14px"">Resolución 4K (3480 × 2160)</span><br/><span style=""font-size:14px""> Procesador NQ4 AI Gen2: Escalado a 4K con Inteligencia Artificial</span><br/><span style=""font-size:14px""> Contrast Self-illuminating Pixels: Píxeles que se iluminan de forma independiente para negros más profundos</span><br/><span style=""font-size:14px""> HDR10+ con IA: Ajuste dinámico de brillo, contraste y color en tiempo real</span><br/><span style=""font-size:14px""> Ultra Viewing Angle: Imagen y colores consistentes desde cualquier ángulo</span><br/><span style=""font-size:14px""> Real Depth Enhancer: Mayor profundidad y realismo en las escenas</span><br/><span style=""font-size:14px""> Motion Xcelerator 120Hz: Movimiento más fluido, ideal para deportes y videojuegos</span><br/><span style=""font-size:14px""> Brightness Optimizer: Ajuste automático según la luz del ambiente</span><br/><span style=""font-size:14px""> Multi View: Divide la pantalla para multitareas</span><h3><br/><strong style=""font-size:14px"">SONIDO:</strong></h3><br/><span style=""font-size:14px"">Dolby Atmos + OTS Lite: Sonido envolvente que sigue la acción en pantalla</span><br/><span style=""font-size:14px""> Adaptive Sound Pro: Optimiza el audio según el contenido y el entorno</span><br/><span style=""font-size:14px""> Amplificador de Voz Pro: Mejora la claridad de diálogos</span><br/><span style=""font-size:14px""> Q-Symphony: Sonido sincronizado entre TV y barra de sonido</span><br/><span style=""font-size:14px""> Función Karaoke Mic</span><h3><br/><strong style=""font-size:14px"">SISTEMA Y CONECTIVIDAD:</strong></h3><br/><span style=""font-size:14px"">Sistema operativo: Tizen™</span><br/><span style=""font-size:14px""> Asistentes de voz: Bixby y Alexa</span><br/><span style=""font-size:14px""> Compatibilidad: Apple AirPlay y Daily+</span><br/><span style=""font-size:14px""> Wi-Fi 5</span><br/><span style=""font-size:14px""> Bluetooth 5.3</span><br/><span style=""font-size:14px""> HDMI x 4</span><br/><span style=""font-size:14px""> USB x 2</span><h3><br/><strong style=""font-size:14px"">MEDIDAS (An x Al x Prof):</strong></h3><span style=""font-size:14px"">Con pie: 172.14 x 106 x 33.02 cm</span><br/><span style=""font-size:14px""> Sin pie: 172.14 x 99.14 x 3.39 cm</span><h3><br/><strong style=""font-size:14px"">GARANTÍA:</strong></h3><span style=""font-size:14px"">12 meses</span><br/>",SAMSUNG,Electro,"TV, SAMSUNG, stock-verificado",TRUE,Título,Default Title,2178,3499.0,3999.0,10,deny,https://vstoreuy.vteximg.com.br/arquivos/ids/164410/SAQN55S85FA--1-.jpg?v=639155715899300000,1
vs-smart-tv-samsung-oled-77-4k-vision-ai,,,,,,,,,,,,,,https://vstoreuy.vteximg.com.br/arquivos/ids/164411/SAQN55S85FA--2-.jpg?v=639155715899600000,2
vs-smart-tv-samsung-oled-77-4k-vision-ai,,,,,,,,,,,,,,https://vstoreuy.vteximg.com.br/arquivos/ids/164412/SAQN55S85FA--3-.jpg?v=639155715899600000,3
